,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
171,164.0,Lesotho,32910,,697.0,,24155.0,,8058.0,,15137.0,321.0,431221.0,198344.0,2174109.0,Africa,66.0,3119.0,5.0,,,3706.0
172,165.0,Mali,31043,2.0,734.0,,30144.0,16.0,165.0,,1454.0,34.0,677891.0,31759.0,21344614.0,Africa,688.0,29080.0,31.0,0.09,,8.0
173,166.0,Haiti,30734,9.0,835.0,,29643.0,24.0,256.0,,2635.0,72.0,132422.0,11354.0,11663300.0,North America,379.0,13968.0,88.0,0.8,,22.0
174,167.0,Isle of Man,28416,,105.0,,26794.0,,1517.0,,330892.0,1223.0,150753.0,1755453.0,85877.0,Europe,3.0,818.0,1.0,,,17665.0
175,168.0,Benin,26952,,163.0,,25506.0,,1283.0,5.0,2119.0,13.0,604310.0,47514.0,12718693.0,Africa,472.0,78029.0,21.0,,,101.0
176,169.0,Somalia,26521,,1350.0,,13182.0,,11989.0,,1586.0,81.0,400466.0,23945.0,16724724.0,Africa,631.0,12389.0,42.0,,,717.0
177,170.0,Saint Lucia,24780,125.0,368.0,,23578.0,75.0,834.0,1.0,133801.0,1987.0,143281.0,773651.0,185201.0,North America,7.0,503.0,1.0,675.0,,4503.0
178,171.0,Cayman Islands,24477,899.0,28.0,,8553.0,,15896.0,1.0,364404.0,417.0,222773.0,3316555.0,67170.0,North America,3.0,2399.0,0.0,13384.0,,236653.0
179,172.0,Congo,24079,,385.0,,20178.0,,3516.0,,4171.0,67.0,347815.0,60251.0,5772810.0,Africa,240.0,14994.0,17.0,,,609.0
180,173.0,Timor-Leste,22890,,131.0,,22748.0,,11.0,,16763.0,96.0,265125.0,194153.0,1365547.0,Asia,60.0,10424.0,5.0,,,8.0
181,174.0,Burkina Faso,20853,,382.0,,20439.0,,32.0,,949.0,17.0,248995.0,11329.0,21978155.0,Africa,1054.0,57534.0,88.0,,,1.0
182,175.0,Nicaragua,18491,,225.0,,4225.0,,14041.0,,2730.0,33.0,,,6772414.0,North America,366.0,30100.0,,,,2073.0
183,176.0,Gibraltar,18273,144.0,102.0,,16579.0,,1592.0,,542676.0,3029.0,534283.0,15867278.0,33672.0,Europe,2.0,330.0,0.0,4277.0,,47280.0
184,177.0,Solomon Islands,18174,,146.0,,16357.0,,1671.0,2.0,25295.0,203.0,5117.0,7122.0,718474.0,Australia/Oceania,40.0,4921.0,140.0,,,2326.0
185,178.0,South Sudan,17551,,138.0,,13514.0,,3899.0,1.0,1534.0,12.0,392400.0,34301.0,11439928.0,Africa,652.0,82898.0,29.0,,,341.0
186,179.0,Tajikistan,17388,,124.0,,17264.0,,0.0,,1749.0,12.0,,,9939427.0,Asia,572.0,80157.0,,,,
187,180.0,Liechtenstein,17377,1.0,84.0,,17247.0,15.0,46.0,,453317.0,2191.0,102174.0,2665432.0,38333.0,Europe,2.0,456.0,0.0,26.0,,1200.0
188,181.0,Grenada,17061,143.0,223.0,1.0,15597.0,270.0,1241.0,4.0,150316.0,1965.0,161021.0,1418675.0,113501.0,North America,7.0,509.0,1.0,1260.0,9.0,10934.0
189,182.0,San Marino,16852,,115.0,,16454.0,,283.0,4.0,494701.0,3376.0,152231.0,4468839.0,34065.0,Europe,2.0,296.0,0.0,,,8308.0
190,183.0,Equatorial Guinea,15910,,183.0,,15704.0,,23.0,5.0,10682.0,123.0,320949.0,215487.0,1489411.0,Africa,94.0,8139.0,5.0,,,15.0
191,184.0,Djibouti,15631,,189.0,,15427.0,,15.0,,15401.0,186.0,305941.0,301434.0,1014953.0,Africa,65.0,5370.0,3.0,,,15.0
192,185.0,CAR,14649,,113.0,,6859.0,,7677.0,2.0,2937.0,23.0,81294.0,16300.0,4987285.0,Africa,340.0,44135.0,61.0,,,1539.0
193,186.0,Bermuda,14442,,137.0,,13945.0,,360.0,,233516.0,2215.0,903163.0,14603418.0,61846.0,North America,4.0,451.0,0.0,,,5821.0
194,187.0,Dominica,13116,,63.0,,12465.0,,588.0,,181358.0,871.0,196777.0,2720883.0,72321.0,North America,6.0,1148.0,0.0,,,8130.0
195,188.0,Samoa,12051,,24.0,,1605.0,,10422.0,4.0,59989.0,119.0,93905.0,467452.0,200887.0,Australia/Oceania,17.0,8370.0,2.0,,,51880.0
196,189.0,Monaco,12035,,54.0,,11922.0,,59.0,4.0,302661.0,1358.0,54960.0,1382155.0,39764.0,Europe,3.0,736.0,1.0,,,1484.0
197,190.0,Gambia,11999,,365.0,,11591.0,,43.0,,4717.0,143.0,155686.0,61198.0,2543985.0,Africa,212.0,6970.0,16.0,,,17.0
198,191.0,Greenland,11971,,21.0,,2761.0,,9189.0,4.0,210183.0,369.0,164926.0,2895725.0,56955.0,North America,5.0,2712.0,0.0,,,161338.0
199,192.0,Yemen,11819,,2149.0,,9009.0,,661.0,23.0,381.0,69.0,265253.0,8541.0,31058009.0,Asia,2628.0,14452.0,117.0,,,21.0
200,193.0,Tonga,11394,,11.0,,10693.0,,690.0,,105557.0,102.0,535009.0,4956449.0,107942.0,Australia/Oceania,9.0,9813.0,0.0,,,6392.0
201,194.0,Saint Martin,10602,,63.0,,1399.0,,9140.0,7.0,265694.0,1579.0,112382.0,2816380.0,39903.0,North America,4.0,633.0,0.0,,,229055.0
202,195.0,Sint Maarten,10189,,86.0,,10068.0,,35.0,10.0,232684.0,1964.0,62056.0,1417160.0,43789.0,North America,4.0,509.0,1.0,,,799.0
203,196.0,Caribbean Netherlands,9986,,35.0,,9886.0,,65.0,,374288.0,1312.0,30126.0,1129160.0,26680.0,North America,3.0,762.0,1.0,,,2436.0
204,197.0,Eritrea,9751,,103.0,,9633.0,,15.0,,2680.0,28.0,23693.0,6512.0,3638499.0,Africa,373.0,35325.0,154.0,,,4.0
205,198.0,Niger,9031,,310.0,,8628.0,,93.0,1.0,349.0,12.0,254538.0,9847.0,25849515.0,Africa,2862.0,83386.0,102.0,,,4.0
206,199.0,Vanuatu,8659,47.0,14.0,,8287.0,47.0,358.0,,27008.0,44.0,24976.0,77902.0,320606.0,Australia/Oceania,37.0,22900.0,13.0,147.0,,1117.0
207,200.0,Guinea-Bissau,8240,,171.0,,8011.0,,58.0,6.0,4009.0,83.0,137045.0,66681.0,2055236.0,Africa,249.0,12019.0,15.0,,,28.0
208,201.0,Comoros,8100,,160.0,,7933.0,,7.0,,8957.0,177.0,,,904345.0,Africa,112.0,5652.0,,,,8.0
209,202.0,Antigua and Barbuda,7910,55.0,138.0,,7597.0,41.0,175.0,1.0,79537.0,1388.0,18901.0,190055.0,99450.0,North America,13.0,721.0,5.0,553.0,,1760.0
210,203.0,Sierra Leone,7682,,125.0,,,,,,928.0,15.0,259958.0,31391.0,8281248.0,Africa,1078.0,66250.0,32.0,,,331.0
211,204.0,Liberia,7455,3.0,294.0,,5747.0,,1414.0,2.0,1412.0,56.0,139824.0,26479.0,5280627.0,Africa,708.0,17961.0,38.0,0.6,,268.0
212,205.0,Chad,7415,,193.0,,4874.0,,2348.0,,428.0,11.0,191341.0,11054.0,17309725.0,Africa,2334.0,89688.0,90.0,,,136.0
213,206.0,St. Vincent Grenadines,6825,7.0,106.0,,6641.0,,78.0,,61155.0,950.0,99290.0,889687.0,111601.0,North America,16.0,1053.0,1.0,63.0,,699.0
214,207.0,British Virgin Islands,6690,117.0,62.0,,,,,1.0,218570.0,2026.0,103895.0,3394374.0,30608.0,North America,5.0,494.0,0.0,3823.0,,4313.0
215,208.0,Turks and Caicos,6097,,36.0,,6026.0,,35.0,4.0,153577.0,907.0,512050.0,12897985.0,39700.0,North America,7.0,1103.0,0.0,,,882.0
216,209.0,Sao Tome and Principe,5973,,73.0,,5897.0,,3.0,,26337.0,322.0,29036.0,128029.0,226793.0,Africa,38.0,3107.0,8.0,,,13.0
217,210.0,Saint Kitts and Nevis,5643,17.0,43.0,,5560.0,4.0,40.0,,104684.0,798.0,70707.0,1311697.0,53905.0,North America,10.0,1254.0,1.0,315.0,,742.0
218,211.0,Cook Islands,5508,,1.0,,5401.0,,106.0,,313061.0,57.0,17835.0,1013698.0,17594.0,Australia/Oceania,3.0,17594.0,1.0,,,6025.0
219,212.0,Palau,4936,,6.0,,4200.0,,730.0,1.0,270377.0,329.0,50415.0,2761558.0,18256.0,Australia/Oceania,4.0,3043.0,0.0,,,39987.0
220,213.0,St. Barth,4611,,6.0,,,,,,464210.0,604.0,78646.0,7917648.0,9933.0,North America,2.0,1656.0,0.0,,,417095.0
221,214.0,Anguilla,3116,,9.0,,3042.0,,65.0,4.0,204274.0,590.0,51382.0,3368428.0,15254.0,North America,5.0,1695.0,0.0,,,4261.0
222,215.0,Kiribati,3098,,13.0,,2602.0,,483.0,3.0,25210.0,106.0,,,122887.0,Australia/Oceania,40.0,9453.0,,,,3930.0
223,216.0,Saint Pierre Miquelon,2739,,1.0,,2449.0,,289.0,1.0,477095.0,174.0,23687.0,4125936.0,5741.0,North America,2.0,5741.0,0.0,,,50340.0
224,217.0,Falkland Islands,1512,,,,,,,,411989.0,,8632.0,2352044.0,3670.0,South America,2.0,,0.0,,,378202.0
225,218.0,Montserrat,861,,4.0,,552.0,,305.0,,172269.0,800.0,11827.0,2366347.0,4998.0,North America,6.0,1250.0,0.0,,,61024.0
226,219.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,,,,,,,,
227,220.0,Wallis and Futuna,454,,7.0,,438.0,,9.0,,41766.0,644.0,20508.0,1886661.0,10870.0,Australia/Oceania,24.0,1553.0,1.0,,,828.0
228,221.0,Macao,82,,,,82.0,,0.0,,123.0,,5375.0,8071.0,665940.0,Asia,8121.0,,124.0,,,
229,222.0,Vatican City,29,,,,29.0,,0.0,,36025.0,,,,805.0,Europe,28.0,,,,,
230,223.0,Marshall Islands,17,,,,14.0,,3.0,,284.0,,,,59939.0,Australia/Oceania,3526.0,,,,,50.0
231,224.0,Western Sahara,10,,1.0,,9.0,,0.0,,16.0,2.0,,,624882.0,Africa,62488.0,624882.0,,,,
232,225.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,,,,,,,,
233,226.0,Niue,9,,,,9.0,,0.0,,5464.0,,,,1647.0,Australia/Oceania,183.0,,,,,
234,227.0,Nauru,8,,,,5.0,,3.0,,730.0,,,,10952.0,Australia/Oceania,1369.0,,,,,274.0
235,228.0,Micronesia,7,,,,1.0,,6.0,,60.0,,,,117285.0,Australia/Oceania,16755.0,,,,,51.0
236,229.0,Saint Helena,2,,,,2.0,,0.0,,327.0,,,,6111.0,Africa,3056.0,,,,,
237,,Total:,152624383,446551.0,1428976.0,272.0,144973693.0,340260.0,6221714.0,11727.0,,,,,,Asia,,,,,,
238,,Total:,100284014,103608.0,1469671.0,487.0,95117869.0,50340.0,3696474.0,7725.0,,,,,,North America,,,,,,
239,,Total:,57268712,19625.0,1297274.0,142.0,53234187.0,1724.0,2737251.0,10533.0,,,,,,South America,,,,,,
240,,Total:,195083236,152408.0,1834850.0,810.0,183055892.0,356844.0,10192494.0,7361.0,,,,,,Europe,,,,,,
241,,Total:,8201374,63600.0,11645.0,56.0,7699943.0,66437.0,489786.0,152.0,,,,,,Australia/Oceania,,,,,,
242,,Total:,12081341,8215.0,254548.0,34.0,11246279.0,7323.0,580514.0,957.0,,,,,,Africa,,,,,,
243,,Total:,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
244,,Total:,525543781,794007.0,6296979.0,1801.0,495328569.0,822928.0,23918233.0,38455.0,67422.4,807.8,,,,All,,,,,,
