,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,154366557,289138.0,1430074.0,182.0,146913952.0,331776.0,6022531.0,11357.0,,,,,,Asia,,,,,,
1,,North America,100891797,109779.0,1471854.0,448.0,95458095.0,76836.0,3961848.0,7779.0,,,,,,North America,,,,,,
2,,South America,57443317,38547.0,1297909.0,244.0,53398163.0,37062.0,2747245.0,10512.0,,,,,,South America,,,,,,
3,,Europe,195685526,156244.0,1837982.0,690.0,184220892.0,308258.0,9626652.0,7243.0,,,,,,Europe,,,,,,
4,,Oceania,8449160,52270.0,11907.0,83.0,7977747.0,68785.0,459506.0,150.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12114794,9722.0,254691.0,71.0,11303063.0,10532.0,557040.0,960.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,528951872,655700.0,6304432.0,1718.0,499272618.0,833249.0,23374822.0,38001.0,67860.0,808.8,,,,All,,,,,,
8,1.0,China,223488,156.0,5224.0,1.0,214308.0,474.0,3956.0,192.0,155.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6440.0,275521.0,9.0,0.1,,3.0
9,2.0,USA,85339119,96371.0,1030098.0,397.0,81783405.0,64494.0,2525616.0,2327.0,254990.0,3078.0,1022984286.0,3056642.0,334675850.0,North America,4.0,325.0,0.0,288.0,1.0,7546.0
10,3.0,India,43142192,2124.0,524507.0,17.0,42602714.0,1977.0,14971.0,698.0,30691.0,373.0,847092226.0,602621.0,1405680477.0,Asia,33.0,2680.0,2.0,2.0,0.01,11.0
11,4.0,Brazil,30836815,32820.0,665955.0,228.0,29885580.0,33663.0,285280.0,8318.0,143148.0,3091.0,63776166.0,296057.0,215418845.0,South America,7.0,323.0,3.0,152.0,1.0,1324.0
12,5.0,France,29391365,32029.0,148005.0,88.0,28657773.0,47843.0,585587.0,1173.0,448403.0,2258.0,271490188.0,4141927.0,65546831.0,Europe,2.0,443.0,0.0,489.0,1.0,8934.0
13,6.0,Germany,26157826,54198.0,138879.0,141.0,24832300.0,123700.0,1186647.0,944.0,310328.0,1648.0,122332384.0,1451312.0,84290911.0,Europe,3.0,607.0,1.0,643.0,2.0,14078.0
14,7.0,UK,22271122,6442.0,178221.0,136.0,21863906.0,27590.0,228995.0,188.0,324837.0,2599.0,522526476.0,7621352.0,68560862.0,Europe,3.0,385.0,0.0,94.0,2.0,3340.0
15,8.0,Russia,18301393,3785.0,378516.0,90.0,17700372.0,6352.0,222505.0,2300.0,125307.0,2592.0,273400000.0,1871925.0,146052871.0,Europe,8.0,386.0,1.0,26.0,0.6,1523.0
16,9.0,S. Korea,17993985,26313.0,24006.0,19.0,17440795.0,26692.0,529184.0,232.0,350400.0,467.0,15804065.0,307755.0,51352677.0,Asia,3.0,2139.0,3.0,512.0,0.4,10305.0
17,10.0,Italy,17289994,31582.0,166127.0,95.0,16310440.0,51946.0,813427.0,290.0,286763.0,2755.0,219795876.0,3645426.0,60293604.0,Europe,3.0,363.0,0.0,524.0,2.0,13491.0
18,11.0,Turkey,15064507,1304.0,98935.0,6.0,14962195.0,1184.0,3377.0,975.0,175054.0,1150.0,161801143.0,1880173.0,86056511.0,Asia,6.0,870.0,1.0,15.0,0.07,39.0
19,12.0,Spain,12280345,10568.0,106105.0,38.0,11679931.0,16343.0,494309.0,339.0,262462.0,2268.0,471036328.0,10067235.0,46789046.0,Europe,4.0,441.0,0.0,226.0,0.8,10565.0
20,13.0,Vietnam,10711389,1323.0,43076.0,,9412403.0,6495.0,1255910.0,216.0,108200.0,435.0,85814684.0,866850.0,98996017.0,Asia,9.0,2298.0,1.0,13.0,,12686.0
21,14.0,Argentina,9178795,,128825.0,,8895999.0,,153971.0,300.0,199623.0,2802.0,35716069.0,776763.0,45980626.0,South America,5.0,357.0,1.0,,,3349.0
22,15.0,Japan,8641599,22916.0,30337.0,30.0,8278412.0,35149.0,332850.0,100.0,68724.0,241.0,51636619.0,410649.0,125743902.0,Asia,15.0,4145.0,2.0,182.0,0.2,2647.0
23,16.0,Netherlands,8078976,1104.0,22310.0,3.0,8016910.0,1578.0,39756.0,38.0,469527.0,1297.0,21107399.0,1226703.0,17206616.0,Europe,2.0,771.0,1.0,64.0,0.2,2311.0
24,17.0,Iran,7230589,268.0,141288.0,7.0,7037536.0,1738.0,51765.0,641.0,84050.0,1642.0,52031785.0,604828.0,86027405.0,Asia,12.0,609.0,2.0,3.0,0.08,602.0
25,18.0,Australia,7025763,42759.0,8178.0,68.0,6666522.0,58132.0,351063.0,117.0,269602.0,314.0,71338966.0,2737511.0,26059789.0,Australia/Oceania,4.0,3187.0,0.0,1641.0,3.0,13471.0
26,19.0,Colombia,6099111,,139833.0,,5930545.0,,28733.0,342.0,117496.0,2694.0,34792844.0,670263.0,51909240.0,South America,9.0,371.0,1.0,,,554.0
27,20.0,Indonesia,6053109,345.0,156548.0,14.0,5893628.0,288.0,2933.0,2771.0,21696.0,561.0,98271696.0,352232.0,278997192.0,Asia,46.0,1782.0,3.0,1.0,0.05,11.0
