,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,149021049,126843.0,1426549.0,200.0,126714361.0,61466.0,20880139.0,12238.0,,,,,,Asia,,,,,,
1,,North America,99076182,69245.0,1464822.0,211.0,94569328.0,78499.0,3042032.0,7226.0,,,,,,North America,,,,,,
2,,South America,56993397,12087.0,1295651.0,72.0,53104774.0,26761.0,2592972.0,10690.0,,,,,,South America,,,,,,
3,,Europe,193088512,104718.0,1826215.0,692.0,179835887.0,389451.0,11426410.0,8411.0,,,,,,Europe,,,,,,
4,,Oceania,7585186,44569.0,11018.0,7.0,7128713.0,41455.0,445455.0,161.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11984447,3957.0,254032.0,17.0,11168157.0,2752.0,562258.0,963.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,517749494,361419.0,6278302.0,1199.0,472521926.0,600384.0,38949266.0,39689.0,66422.0,805.4,,,,All,,,,,,
8,1.0,China,220040,415.0,5185.0,11.0,206119.0,849.0,8736.0,529.0,153.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6541.0,277594.0,9.0,0.3,0.01,6.0
9,2.0,USA,83718806,60988.0,1024825.0,125.0,81021098.0,73174.0,1672883.0,1714.0,250208.0,3063.0,1012872907.0,3027148.0,334596450.0,North America,4.0,326.0,0.0,182.0,0.4,5000.0
10,3.0,India,43107689,2288.0,524103.0,10.0,42563949.0,3044.0,19637.0,698.0,30679.0,373.0,841029858.0,598545.0,1405124872.0,Asia,33.0,2681.0,2.0,2.0,0.01,14.0
11,4.0,Brazil,30574245,9709.0,664248.0,59.0,29652018.0,22598.0,257979.0,8318.0,141970.0,3084.0,63776166.0,296142.0,215357015.0,South America,7.0,324.0,3.0,45.0,0.3,1198.0
12,5.0,France,28964775,7354.0,146856.0,132.0,27669575.0,25411.0,1148344.0,1408.0,441934.0,2241.0,269816888.0,4116769.0,65540928.0,Europe,2.0,446.0,0.0,112.0,2.0,17521.0
13,6.0,Germany,25385707,40350.0,137020.0,95.0,23373200.0,126300.0,1875487.0,1279.0,301207.0,1626.0,122332384.0,1451500.0,84279960.0,Europe,3.0,615.0,1.0,479.0,1.0,22253.0
14,7.0,UK,22140287,6311.0,176424.0,71.0,21558432.0,71373.0,405431.0,253.0,322998.0,2574.0,519264096.0,7575380.0,68546277.0,Europe,3.0,389.0,0.0,92.0,1.0,5915.0
15,8.0,Russia,18232696,5030.0,377049.0,103.0,17609357.0,5959.0,246290.0,2300.0,124838.0,2582.0,273400000.0,1871958.0,146050315.0,Europe,8.0,387.0,1.0,34.0,0.7,1686.0
16,9.0,S. Korea,17564999,20601.0,23400.0,40.0,,,,421.0,342058.0,456.0,15804065.0,307766.0,51350875.0,Asia,3.0,2194.0,3.0,401.0,0.8,322722.0
17,10.0,Italy,16816603,17339.0,164573.0,84.0,15548091.0,76099.0,1103939.0,363.0,278895.0,2729.0,216195210.0,3585491.0,60297233.0,Europe,4.0,366.0,0.0,288.0,1.0,18308.0
18,11.0,Turkey,15044921,1542.0,98854.0,8.0,14942882.0,1463.0,3185.0,975.0,174902.0,1149.0,159961399.0,1859598.0,86019338.0,Asia,6.0,870.0,1.0,18.0,0.09,37.0
19,12.0,Spain,12046430,12457.0,105061.0,64.0,11506148.0,16214.0,435221.0,339.0,257467.0,2245.0,471036328.0,10067394.0,46788306.0,Europe,4.0,445.0,0.0,266.0,1.0,9302.0
20,13.0,Vietnam,10678359,2175.0,43057.0,1.0,9322165.0,1574.0,1313137.0,449.0,107906.0,435.0,85805504.0,867071.0,98960160.0,Asia,9.0,2298.0,1.0,22.0,0.01,13269.0
21,14.0,Argentina,9101319,,128729.0,,8895999.0,,76591.0,372.0,198011.0,2801.0,35716069.0,777050.0,45963646.0,South America,5.0,357.0,1.0,,,1666.0
22,15.0,Japan,8099533,40942.0,29813.0,28.0,7747676.0,30792.0,322044.0,163.0,64405.0,237.0,49544860.0,393965.0,125759701.0,Asia,16.0,4218.0,3.0,326.0,0.2,2561.0
23,16.0,Netherlands,8061443,1027.0,22278.0,2.0,7959467.0,20785.0,79698.0,52.0,468551.0,1295.0,21107399.0,1226813.0,17205067.0,Europe,2.0,772.0,1.0,60.0,0.1,4632.0
24,17.0,Iran,7225759,570.0,141189.0,12.0,7008231.0,2811.0,76339.0,854.0,84037.0,1642.0,50914586.0,592145.0,85983346.0,Asia,12.0,609.0,2.0,7.0,0.1,888.0
