,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,149183169,162120.0,1426824.0,275.0,126782664.0,68303.0,20973681.0,12099.0,,,,,,Asia,,,,,,
1,,North America,99148694,72512.0,1465197.0,375.0,94617087.0,47759.0,3066410.0,7264.0,,,,,,North America,,,,,,
2,,South America,57016385,22988.0,1295869.0,218.0,53137650.0,32876.0,2582866.0,10684.0,,,,,,South America,,,,,,
3,,Europe,193350761,262249.0,1827003.0,788.0,180343822.0,507935.0,11179936.0,8363.0,,,,,,Europe,,,,,,
4,,Oceania,7644282,59096.0,11084.0,66.0,7179440.0,50727.0,453758.0,156.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12001438,16991.0,254082.0,50.0,11184772.0,16615.0,562584.0,962.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,518345450,595956.0,6280074.0,1772.0,473246141.0,724215.0,38819235.0,39528.0,66499.0,805.7,,,,All,,,,,,
8,1.0,China,220397,357.0,5191.0,6.0,207138.0,1019.0,8068.0,511.0,153.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6531.0,277273.0,9.0,0.2,,6.0
9,2.0,USA,83778760,59954.0,1025104.0,279.0,81059093.0,37995.0,1694563.0,1745.0,250387.0,3064.0,1013580634.0,3029263.0,334596450.0,North America,4.0,326.0,0.0,179.0,0.8,5064.0
10,3.0,India,43110586,2897.0,524157.0,54.0,42566935.0,2986.0,19494.0,698.0,30681.0,373.0,841514701.0,598890.0,1405124872.0,Asia,33.0,2681.0,2.0,2.0,0.04,14.0
11,4.0,Brazil,30594388,20143.0,664443.0,195.0,29681120.0,29102.0,248825.0,8318.0,142064.0,3085.0,63776166.0,296142.0,215357015.0,South America,7.0,324.0,3.0,94.0,0.9,1155.0
