,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,148033367,110000.0,1424292.0,375.0,126062366.0,92886.0,20546709.0,12945.0,,,,,,Asia,,,,,,
1,,North America,98394696,46231.0,1460064.0,114.0,94207984.0,39459.0,2726648.0,7109.0,,,,,,North America,,,,,,
2,,South America,56823891,10434.0,1294645.0,62.0,52948318.0,20309.0,2580928.0,10772.0,,,,,,South America,,,,,,
3,,Europe,191235685,109912.0,1818272.0,397.0,176527478.0,249131.0,12889935.0,9347.0,,,,,,Europe,,,,,,
4,,Oceania,7195591,39366.0,10621.0,14.0,6751021.0,40079.0,433949.0,186.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11906523,4204.0,253795.0,,11105026.0,1606.0,547702.0,970.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,513590474,320147.0,6261704.0,962.0,467602899.0,443470.0,39725871.0,41329.0,65889.0,803.3,,,,All,,,,,,
8,1.0,China,216587,920.0,5060.0,38.0,187525.0,3447.0,24002.0,447.0,150.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6645.0,284451.0,9.0,0.6,0.03,17.0
9,2.0,USA,83129623,40797.0,1020967.0,49.0,80720330.0,34518.0,1388326.0,1554.0,248479.0,3052.0,1005623543.0,3005862.0,334554103.0,North America,4.0,328.0,0.0,122.0,0.1,4150.0
10,3.0,India,43082502,3314.0,523869.0,26.0,42538976.0,2723.0,19657.0,698.0,30667.0,373.0,837913110.0,596452.0,1404828550.0,Asia,33.0,2682.0,2.0,2.0,0.02,14.0
11,4.0,Brazil,30454490,6254.0,663567.0,16.0,29533039.0,13835.0,257884.0,8318.0,141436.0,3082.0,63776166.0,296187.0,215324039.0,South America,7.0,324.0,3.0,29.0,0.07,1198.0
12,5.0,France,28682011,36726.0,145962.0,32.0,26826937.0,25431.0,1709112.0,1677.0,437641.0,2227.0,266484045.0,4066113.0,65537780.0,Europe,2.0,449.0,0.0,560.0,0.5,26078.0
13,6.0,Germany,24770595,8995.0,135913.0,13.0,22356000.0,48100.0,2278682.0,1446.0,293929.0,1613.0,122332384.0,1451601.0,84274119.0,Europe,3.0,620.0,1.0,107.0,0.2,27039.0
14,7.0,UK,22038340,,174912.0,,21210408.0,42141.0,653020.0,302.0,321547.0,2552.0,517337635.0,7548132.0,68538498.0,Europe,3.0,392.0,0.0,,,9528.0
15,8.0,Russia,18189401,7047.0,376031.0,147.0,17548718.0,8733.0,264652.0,2300.0,124543.0,2575.0,273400000.0,1871975.0,146048952.0,Europe,8.0,388.0,1.0,48.0,1.0,1812.0
16,9.0,S. Korea,17275649,37771.0,22875.0,81.0,,,,793.0,336430.0,445.0,15804065.0,307772.0,51349914.0,Asia,3.0,2245.0,3.0,736.0,2.0,317104.0
17,10.0,Italy,16504963,40929.0,163612.0,105.0,15109509.0,39195.0,1231842.0,366.0,273718.0,2713.0,214061284.0,3549987.0,60299169.0,Europe,4.0,369.0,0.0,679.0,2.0,20429.0
18,11.0,Turkey,15033573,1480.0,98783.0,12.0,14930088.0,2113.0,4702.0,975.0,174810.0,1149.0,159133216.0,1850397.0,85999512.0,Asia,6.0,871.0,1.0,17.0,0.1,55.0
19,12.0,Spain,11896152,,104456.0,,11389694.0,,402002.0,339.0,254257.0,2233.0,471036328.0,10067479.0,46787912.0,Europe,4.0,448.0,0.0,,,8592.0
20,13.0,Vietnam,10653526,3717.0,43042.0,1.0,9264366.0,2111.0,1346118.0,475.0,107676.0,435.0,85799603.0,867179.0,98941036.0,Asia,9.0,2299.0,1.0,38.0,0.01,13605.0
21,14.0,Argentina,9083673,1024.0,128653.0,13.0,8895999.0,,59021.0,372.0,197666.0,2800.0,35716069.0,777204.0,45954590.0,South America,5.0,357.0,1.0,22.0,0.3,1284.0
22,15.0,Netherlands,8050019,1291.0,22253.0,4.0,7836980.0,25416.0,190786.0,66.0,467909.0,1293.0,21107399.0,1226872.0,17204241.0,Europe,2.0,773.0,1.0,75.0,0.2,11089.0
23,16.0,Japan,7876508,26256.0,29567.0,19.0,7439103.0,36533.0,407838.0,165.0,62627.0,235.0,48754790.0,387656.0,125768126.0,Asia,16.0,4254.0,3.0,209.0,0.2,3243.0
24,17.0,Iran,7222308,655.0,141096.0,13.0,6986516.0,3014.0,94696.0,1001.0,84020.0,1641.0,50914586.0,592307.0,85959848.0,Asia,12.0,609.0,2.0,8.0,0.2,1102.0
25,18.0,Colombia,6092667,,139797.0,,5926476.0,,26394.0,342.0,117449.0,2695.0,34465052.0,664384.0,51875179.0,South America,9.0,371.0,2.0,,,509.0
26,19.0,Indonesia,6047040,244.0,156273.0,16.0,5883293.0,633.0,7474.0,2771.0,21688.0,560.0,95647196.0,343048.0,278815543.0,Asia,46.0,1784.0,3.0,0.9,0.06,27.0
27,20.0,Poland,5996747,233.0,116059.0,,5334711.0,31.0,545977.0,1321.0,158767.0,3073.0,36099719.0,955758.0,37770774.0,Europe,6.0,325.0,1.0,6.0,,14455.0
28,21.0,Australia,5960844,32538.0,7231.0,8.0,5624690.0,33443.0,328923.0,149.0,228900.0,278.0,69388128.0,2664552.0,26041202.0,Australia/Oceania,4.0,3601.0,0.0,1249.0,0.3,12631.0
29,22.0,Mexico,5739680,911.0,324334.0,40.0,5038901.0,751.0,376445.0,4798.0,43677.0,2468.0,15801675.0,120246.0,131411221.0,North America,23.0,405.0,8.0,7.0,0.3,2865.0
30,23.0,Ukraine,5002571,652.0,108410.0,3.0,,,,177.0,115658.0,2506.0,19521252.0,451326.0,43253122.0,Europe,9.0,399.0,2.0,15.0,0.07,19331.0
31,24.0,Malaysia,4449507,1503.0,35550.0,3.0,4372790.0,5839.0,41167.0,69.0,134326.0,1073.0,58769192.0,1774181.0,33124688.0,Asia,7.0,932.0,1.0,45.0,0.09,1243.0
32,25.0,Thailand,4262484,11535.0,28620.0,91.0,4092878.0,22022.0,140986.0,1496.0,60788.0,408.0,17270775.0,246302.0,70120440.0,Asia,16.0,2450.0,4.0,165.0,1.0,2011.0
33,26.0,Austria,4144906,4363.0,18161.0,5.0,4049476.0,6936.0,77269.0,83.0,455463.0,1996.0,183086157.0,20118421.0,9100424.0,Europe,2.0,501.0,0.0,479.0,0.5,8491.0
34,27.0,Israel,4077863,1752.0,10698.0,3.0,4046110.0,3867.0,21055.0,220.0,437257.0,1147.0,41373364.0,4436346.0,9326000.0,Asia,2.0,872.0,0.0,188.0,0.3,2258.0
