,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,146021101,211820.0,1416824.0,453.0,124445167.0,241411.0,20159110.0,13606.0,,,,,,Asia,,,,,,
1,,North America,97526108,53355.0,1453773.0,475.0,93668704.0,61005.0,2403631.0,6974.0,,,,,,North America,,,,,,
2,,South America,56580290,20662.0,1292382.0,229.0,52621353.0,48130.0,2666555.0,11010.0,,,,,,South America,,,,,,
3,,Europe,187316047,261650.0,1801305.0,1120.0,170025920.0,891535.0,15488822.0,9203.0,,,,,,Europe,,,,,,
4,,Oceania,6584922,47756.0,10044.0,28.0,6094660.0,67559.0,480218.0,178.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11832296,2782.0,253559.0,40.0,11061223.0,1303.0,517514.0,963.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,505861485,598025.0,6227902.0,2345.0,457917733.0,1310943.0,41715850.0,41934.0,64897.0,799.0,,,,All,,,,,,
8,1.0,China,188351,3316.0,4648.0,7.0,153319.0,1912.0,30384.0,75.0,131.0,3.0,160000000.0,111163.0,1439323776.0,Asia,7642.0,309665.0,9.0,2.0,,21.0
9,2.0,USA,82416687,33193.0,1016159.0,338.0,80276197.0,32104.0,1124331.0,1436.0,246399.0,3038.0,997115318.0,2981044.0,334485290.0,North America,4.0,329.0,0.0,99.0,1.0,3361.0
10,3.0,India,43047594,2067.0,522006.0,10.0,42513248.0,1547.0,12340.0,698.0,30653.0,372.0,832506755.0,592807.0,1404347026.0,Asia,33.0,2690.0,2.0,1.0,0.01,9.0
11,4.0,Brazil,30279270,18182.0,662266.0,190.0,29298848.0,36365.0,318156.0,8318.0,140657.0,3076.0,63776166.0,296261.0,215270453.0,South America,7.0,325.0,3.0,84.0,0.9,1478.0
12,5.0,France,27816299,25465.0,144387.0,182.0,25301327.0,168976.0,2370585.0,1541.0,424465.0,2203.0,260504402.0,3975184.0,65532665.0,Europe,2.0,454.0,0.0,389.0,3.0,36174.0
