,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,146832904,186993.0,1419129.0,583.0,125032782.0,121132.0,20380993.0,13105.0,,,,,,Asia,,,,,,
1,,North America,97817355,25082.0,1456470.0,134.0,93863380.0,38350.0,2497505.0,7002.0,,,,,,North America,,,,,,
2,,South America,56664019,9958.0,1293011.0,75.0,52722246.0,20777.0,2648762.0,10948.0,,,,,,South America,,,,,,
3,,Europe,189061893,272812.0,1809289.0,695.0,172454815.0,366790.0,14797789.0,10470.0,,,,,,Europe,,,,,,
4,,Oceania,6823188,49992.0,10269.0,48.0,6329767.0,46352.0,483152.0,169.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11864619,4504.0,253696.0,15.0,11081523.0,778.0,529400.0,957.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,509064699,549341.0,6241879.0,1550.0,461485219.0,594179.0,41337601.0,42651.0,65308.0,800.8,,,,All,,,,,,
8,1.0,China,199074,2988.0,4686.0,12.0,163726.0,3127.0,30662.0,237.0,138.0,3.0,160000000.0,111163.0,1439323776.0,Asia,7230.0,307154.0,9.0,2.0,0.01,21.0
9,2.0,USA,82649779,17987.0,1018316.0,77.0,80434925.0,32672.0,1196538.0,1465.0,247080.0,3044.0,1000275726.0,2990303.0,334506463.0,North America,4.0,328.0,0.0,54.0,0.2,3577.0
10,3.0,India,43057545,2593.0,522193.0,44.0,42519479.0,1755.0,15873.0,698.0,30657.0,372.0,834281170.0,594008.0,1404495187.0,Asia,33.0,2690.0,2.0,2.0,0.03,11.0
11,4.0,Brazil,30345654,6957.0,662663.0,45.0,29364400.0,11002.0,318591.0,8318.0,140954.0,3078.0,63776166.0,296238.0,215286941.0,South America,7.0,325.0,3.0,32.0,0.2,1480.0
12,5.0,France,28244977,80571.0,145020.0,75.0,25852907.0,102120.0,2247050.0,1677.0,430996.0,2213.0,266484045.0,4066333.0,65534239.0,Europe,2.0,452.0,0.0,1229.0,1.0,34288.0
13,6.0,Germany,24109433,89665.0,134624.0,153.0,21179400.0,121400.0,2795409.0,1980.0,286106.0,1598.0,122332384.0,1451714.0,84267549.0,Europe,3.0,626.0,1.0,1064.0,2.0,33173.0
14,7.0,UK,21933206,,173352.0,,20714072.0,,1045782.0,339.0,320054.0,2530.0,514985782.0,7514777.0,68529747.0,Europe,3.0,395.0,0.0,,,15260.0
15,8.0,Russia,18128691,8829.0,374734.0,171.0,17464120.0,13030.0,289837.0,2300.0,124129.0,2566.0,273400000.0,1871995.0,146047418.0,Europe,8.0,390.0,1.0,60.0,1.0,1985.0
16,9.0,S. Korea,16830469,75414.0,22024.0,151.0,,,,738.0,327767.0,429.0,15804065.0,307778.0,51348832.0,Asia,3.0,2331.0,3.0,1469.0,3.0,308457.0
17,10.0,Italy,16079209,70520.0,162609.0,143.0,14684371.0,61778.0,1232229.0,409.0,266648.0,2697.0,211365630.0,3505156.0,60301346.0,Europe,4.0,371.0,0.0,1169.0,2.0,20435.0
18,11.0,Turkey,15016270,2654.0,98676.0,16.0,14854475.0,17524.0,63119.0,975.0,174654.0,1148.0,158110923.0,1838986.0,85977208.0,Asia,6.0,871.0,1.0,31.0,0.2,734.0
19,12.0,Spain,11786036,,103908.0,,11261340.0,,420788.0,339.0,251906.0,2221.0,471036328.0,10067575.0,46787468.0,Europe,4.0,450.0,0.0,,,8994.0
20,13.0,Vietnam,10554689,10365.0,43004.0,6.0,9081494.0,2229.0,1430191.0,685.0,106700.0,435.0,85786808.0,867238.0,98919521.0,Asia,9.0,2300.0,1.0,105.0,0.06,14458.0
21,14.0,Argentina,9060923,,128344.0,,8895999.0,,36580.0,412.0,197215.0,2793.0,35716069.0,777376.0,45944402.0,South America,5.0,358.0,1.0,,,796.0
22,15.0,Netherlands,8035603,,22206.0,,7604434.0,,408963.0,94.0,467096.0,1291.0,21107399.0,1226938.0,17203311.0,Europe,2.0,775.0,1.0,,,23772.0
23,16.0,Japan,7577841,42808.0,29257.0,56.0,7078090.0,50424.0,470494.0,203.0,60248.0,233.0,46582691.0,370358.0,125777605.0,Asia,17.0,4299.0,3.0,340.0,0.4,3741.0
24,17.0,Iran,7215512,608.0,140962.0,32.0,6963991.0,3021.0,110559.0,1087.0,83966.0,1640.0,50079995.0,582777.0,85933412.0,Asia,12.0,610.0,2.0,7.0,0.4,1287.0
