,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,147485546,165914.0,1422403.0,531.0,125579832.0,146263.0,20483311.0,12838.0,,,,,,Asia,,,,,,
1,,North America,98109571,74495.0,1458367.0,468.0,94047956.0,43452.0,2603248.0,7094.0,,,,,,North America,,,,,,
2,,South America,56741074,24184.0,1293876.0,317.0,52871661.0,74523.0,2575537.0,10871.0,,,,,,South America,,,,,,
3,,Europe,190197207,336504.0,1814225.0,1312.0,174845997.0,581530.0,13536985.0,10059.0,,,,,,Europe,,,,,,
4,,Oceania,7002180,54833.0,10463.0,66.0,6549556.0,66883.0,442161.0,180.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11884570,6750.0,253779.0,5.0,11091359.0,2979.0,539432.0,956.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,511420869,662680.0,6253128.0,2699.0,464987067.0,915630.0,40180674.0,41998.0,65611.0,802.2,,,,All,,,,,,
8,1.0,China,207081,1824.0,4876.0,48.0,175431.0,3728.0,26774.0,318.0,144.0,3.0,160000000.0,111163.0,1439323776.0,Asia,6951.0,295185.0,9.0,1.0,0.03,19.0
9,2.0,USA,82888247,57738.0,1019774.0,311.0,80585919.0,36051.0,1282554.0,1520.0,247777.0,3048.0,1003322959.0,2999223.0,334527637.0,North America,4.0,328.0,0.0,173.0,0.9,3834.0
10,3.0,India,43068799,3133.0,523693.0,39.0,42528126.0,2563.0,16980.0,698.0,30662.0,373.0,835974079.0,595150.0,1404643348.0,Asia,33.0,2682.0,2.0,2.0,0.03,12.0
11,4.0,Brazil,30399004,20943.0,663165.0,224.0,29480998.0,69185.0,254841.0,8318.0,141191.0,3080.0,63776166.0,296215.0,215303429.0,South America,7.0,325.0,3.0,97.0,1.0,1184.0
