,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,147790735,147776.0,1423481.0,525.0,125862265.0,88073.0,20504989.0,12884.0,,,,,,Asia,,,,,,
1,,North America,98295130,74227.0,1459663.0,403.0,94132441.0,39059.0,2703026.0,7133.0,,,,,,North America,,,,,,
2,,South America,56784213,18269.0,1294368.0,235.0,52909002.0,14811.0,2580843.0,10797.0,,,,,,South America,,,,,,
3,,Europe,190934792,287950.0,1817263.0,1144.0,175975791.0,529151.0,13141738.0,9391.0,,,,,,Europe,,,,,,
4,,Oceania,7109679,51101.0,10567.0,42.0,6665474.0,54512.0,433638.0,173.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11895391,5949.0,253791.0,6.0,11100295.0,5902.0,541305.0,969.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,512810661,585272.0,6259148.0,2355.0,466645974.0,731508.0,39905539.0,41347.0,65789.0,803.0,,,,All,,,,,,
8,1.0,China,214243,5659.0,4975.0,52.0,180951.0,2796.0,28317.0,417.0,149.0,3.0,160000000.0,111163.0,1439323776.0,Asia,6718.0,289311.0,9.0,4.0,0.04,20.0
9,2.0,USA,83042156,64262.0,1020718.0,282.0,80655525.0,32122.0,1365913.0,1562.0,248225.0,3051.0,1005251244.0,3004844.0,334543517.0,North America,4.0,328.0,0.0,192.0,0.8,4083.0
10,3.0,India,43075864,3378.0,523803.0,50.0,42533377.0,2755.0,18684.0,698.0,30664.0,373.0,836945383.0,595795.0,1404754469.0,Asia,33.0,2682.0,2.0,2.0,0.04,13.0
11,4.0,Brazil,30433042,14122.0,663484.0,195.0,29507557.0,8135.0,262001.0,8318.0,141341.0,3081.0,63776166.0,296198.0,215315795.0,South America,7.0,325.0,3.0,66.0,0.9,1217.0
12,5.0,France,28595803,52919.0,145869.0,158.0,26694010.0,141558.0,1755924.0,1677.0,436331.0,2226.0,266484045.0,4066162.0,65536993.0,Europe,2.0,449.0,0.0,807.0,2.0,26793.0
13,6.0,Germany,24704597,96523.0,135794.0,186.0,22227600.0,139300.0,2341203.0,1446.0,293151.0,1611.0,122332384.0,1451626.0,84272659.0,Europe,3.0,621.0,1.0,1145.0,2.0,27781.0
14,7.0,UK,22038340,7332.0,174912.0,216.0,21168418.0,37580.0,695010.0,302.0,321556.0,2552.0,517337635.0,7548346.0,68536553.0,Europe,3.0,392.0,0.0,107.0,3.0,10141.0
15,8.0,Russia,18174991,7710.0,375727.0,161.0,17528963.0,11041.0,270301.0,2300.0,124445.0,2573.0,273400000.0,1871979.0,146048611.0,Europe,8.0,389.0,1.0,53.0,1.0,1851.0
16,9.0,S. Korea,17194616,50551.0,22724.0,136.0,,,,526.0,334853.0,443.0,15804065.0,307773.0,51349673.0,Asia,3.0,2260.0,3.0,984.0,3.0,315530.0
17,10.0,Italy,16409598,59276.0,163377.0,133.0,14998689.0,60951.0,1247532.0,371.0,272134.0,2709.0,213390610.0,3538836.0,60299653.0,Europe,4.0,369.0,0.0,983.0,2.0,20689.0
18,11.0,Turkey,15030321,1924.0,98760.0,9.0,14927975.0,,3586.0,975.0,174782.0,1148.0,158905150.0,1847851.0,85994556.0,Asia,6.0,871.0,1.0,22.0,0.1,42.0
19,12.0,Spain,11896152,20899.0,104456.0,77.0,11389694.0,14081.0,402002.0,339.0,254257.0,2233.0,471036328.0,10067500.0,46787813.0,Europe,4.0,448.0,0.0,447.0,2.0,8592.0
20,13.0,Vietnam,10644700,6068.0,43038.0,1.0,9245528.0,3225.0,1356134.0,594.0,107591.0,435.0,85796776.0,867192.0,98936255.0,Asia,9.0,2299.0,1.0,61.0,0.01,13707.0
21,14.0,Argentina,9072230,,128542.0,,8895999.0,,47689.0,372.0,197427.0,2797.0,35716069.0,777242.0,45952326.0,South America,5.0,357.0,1.0,,,1038.0
22,15.0,Netherlands,8047132,1679.0,22243.0,4.0,7811568.0,27781.0,213321.0,66.0,467747.0,1293.0,21107399.0,1226887.0,17204034.0,Europe,2.0,773.0,1.0,98.0,0.2,12399.0
23,16.0,Japan,7813849,42313.0,29506.0,39.0,7356289.0,36932.0,428054.0,173.0,62128.0,235.0,48589480.0,386335.0,125770233.0,Asia,16.0,4263.0,3.0,336.0,0.3,3403.0
24,17.0,Iran,7221121,719.0,141072.0,14.0,6980483.0,2723.0,99566.0,1076.0,84011.0,1641.0,50914586.0,592347.0,85953973.0,Asia,12.0,609.0,2.0,8.0,0.2,1158.0
25,18.0,Colombia,6092403,236.0,139793.0,4.0,5926016.0,188.0,26594.0,342.0,117450.0,2695.0,34465052.0,664422.0,51872217.0,South America,9.0,371.0,2.0,5.0,0.08,513.0
26,19.0,Indonesia,6046467,395.0,156240.0,23.0,5882062.0,572.0,8165.0,2771.0,21687.0,560.0,95495775.0,342525.0,278799748.0,Asia,46.0,1784.0,3.0,1.0,0.08,29.0
