,#,Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),% of world landmass
174,175,Samoa,2842,1097,2830,1093,0.0 %
175,176,Luxembourg,2586,998,2590,1000,0.0 %
176,177,Réunion,2511,970,2500,965,0.0 %
177,178,Mauritius,2040,788,2030,784,0.0 %
178,179,Comoros,1862,719,1861,719,0.0 %
179,180,Guadeloupe,1628,629,1690,653,0.0 %
180,181,Faeroe Islands,1393,538,1396,539,0.0 %
181,182,Martinique,1128,436,1060,409,0.0 %
182,183,"China, Hong Kong SAR",1104,426,1050,405,0.0 %
183,184,Sao Tome and Principe,964,372,960,371,0.0 %
184,185,Turks and Caicos Islands,948,366,950,367,0.0 %
185,186,Kiribati,811,313,810,313,0.0 %
186,187,Bahrain,765,295,760,293,0.0 %
187,188,Dominica,751,290,750,290,0.0 %
188,189,Tonga,747,288,720,278,0.0 %
189,190,Singapore,710,274,700,270,0.0 %
190,191,Micronesia,702,271,700,270,0.0 %
191,192,Saint Lucia,616,238,610,236,0.0 %
192,193,Isle of Man,572,221,570,220,0.0 %
193,194,Guam,549,212,540,208,0.0 %
194,195,Andorra,468,181,470,181,0.0 %
195,196,Northern Mariana Islands,464,179,460,178,0.0 %
196,197,Palau,459,177,460,178,0.0 %
197,198,Seychelles,452,175,460,178,0.0 %
198,199,Curaçao,444,171,444,171,0.0 %
199,200,Antigua and Barbuda,442,171,440,170,0.0 %
200,201,Barbados,430,166,430,166,0.0 %
201,202,Saint Helena,394,152,390,151,0.0 %
202,203,Saint Vincent and the Grenadines,389,150,390,151,0.0 %
203,204,Mayotte,374,144,375,145,0.0 %
204,205,United States Virgin Islands,347,134,350,135,0.0 %
205,206,Grenada,344,133,340,131,0.0 %
206,207,Caribbean Netherlands,328,127,328,127,0.0 %
207,208,Malta,316,122,320,124,0.0 %
208,209,Maldives,300,116,300,116,0.0 %
209,210,Cayman Islands,264,102,240,93,0.0 %
210,211,Saint Kitts and Nevis,261,101,260,100,0.0 %
211,212,Niue,260,100,260,100,0.0 %
212,213,Saint Pierre and Miquelon,242,93,230,89,0.0 %
213,214,Cook Islands,236,91,240,93,0.0 %
214,215,American Samoa,199,77,200,77,0.0 %
215,216,Marshall Islands,181,70,180,69,0.0 %
216,217,Aruba,180,69,180,69,0.0 %
217,218,Liechtenstein,160,62,160,62,0.0 %
218,219,British Virgin Islands,151,58,150,58,0.0 %
219,220,Wallis and Futuna Islands,142,55,140,54,0.0 %
220,221,Montserrat,102,39,100,39,0.0 %
221,222,Anguilla,91,35,90,35,0.0 %
222,223,San Marino,61,24,60,23,0.0 %
223,224,Bermuda,54,21,50,19,0.0 %
224,225,Saint Martin,53,20,53,20,0.0 %
225,226,Sint Maarten,34,13,34,13,0.0 %
226,227,"China, Macao SAR",30,12,30,12,0.0 %
227,228,Tuvalu,26,10,30,12,0.0 %
228,229,Nauru,21,8,20,8,0.0 %
229,229,Saint Barthélemy,21,8,21,8,0.0 %
230,230,Tokelau,12,5,10,4,0.0 %
231,231,Gibraltar,6,2,10,4,0.0 %
232,232,Monaco,2,1,1,1,0.0 %
233,233,Holy See,0,0,0,0,0.0 %
234,234,Channel Islands,0,0,190,73,0.0 %
