,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,151352808,522021.0,1428268.0,196.0,144012640.0,276106.0,5911900.0,11944.0,,,,,,Asia,,,,,,
1,,North America,99833400,81471.0,1467818.0,185.0,94924968.0,52491.0,3440614.0,7450.0,,,,,,North America,,,,,,
2,,South America,57195764,18346.0,1296743.0,108.0,53205350.0,3032.0,2693671.0,10560.0,,,,,,South America,,,,,,
3,,Europe,194521753,85936.0,1832248.0,728.0,182071611.0,278430.0,10617894.0,8024.0,,,,,,Europe,,,,,,
4,,Oceania,7992927,49550.0,11432.0,19.0,7484940.0,47442.0,496555.0,171.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12051555,4466.0,254346.0,23.0,11216268.0,3544.0,580941.0,957.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,522948928,761790.0,6290870.0,1259.0,492916483.0,661045.0,23741575.0,39106.0,67089.0,807.1,,,,All,,,,,,
8,1.0,China,221955,151.0,5213.0,4.0,211081.0,627.0,5661.0,383.0,154.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6485.0,276103.0,9.0,0.1,,4.0
9,2.0,USA,84398079,74603.0,1026980.0,133.0,81328967.0,46352.0,2042132.0,1984.0,252210.0,3069.0,1018462193.0,3043515.0,334633503.0,North America,4.0,326.0,0.0,223.0,0.4,6103.0
10,3.0,India,43125370,1569.0,524260.0,19.0,42584710.0,2467.0,16400.0,698.0,30686.0,373.0,844134156.0,600643.0,1405384154.0,Asia,33.0,2681.0,2.0,1.0,0.01,12.0
11,4.0,Brazil,30701900,13510.0,665056.0,89.0,29724682.0,,312162.0,8318.0,142544.0,3088.0,63776166.0,296102.0,215385869.0,South America,7.0,324.0,3.0,63.0,0.4,1449.0
12,5.0,France,29189582,5936.0,147478.0,126.0,28268061.0,97403.0,774043.0,1329.0,445345.0,2250.0,271490188.0,4142126.0,65543683.0,Europe,2.0,444.0,0.0,91.0,2.0,11810.0
13,6.0,Germany,25809664,29394.0,138007.0,86.0,24014000.0,57300.0,1657657.0,1279.0,306219.0,1637.0,122332384.0,1451412.0,84285070.0,Europe,3.0,611.0,1.0,349.0,1.0,19667.0
14,7.0,UK,22200003,5680.0,177410.0,176.0,21734362.0,31305.0,288231.0,253.0,323837.0,2588.0,519264096.0,7574628.0,68553083.0,Europe,3.0,386.0,0.0,83.0,3.0,4204.0
15,8.0,Russia,18264836,4543.0,377759.0,89.0,17652558.0,5379.0,234519.0,2300.0,125057.0,2586.0,273400000.0,1871942.0,146051508.0,Europe,8.0,387.0,1.0,31.0,0.6,1606.0
16,9.0,S. Korea,17795357,13296.0,23744.0,35.0,17120356.0,57439.0,651257.0,345.0,346539.0,462.0,15804065.0,307761.0,51351716.0,Asia,3.0,2163.0,3.0,259.0,0.7,12682.0
