,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,152177832,408304.0,1428704.0,215.0,144633433.0,327804.0,6115695.0,11697.0,,,,,,Asia,,,,,,
1,,North America,100180406,118824.0,1469184.0,441.0,95067529.0,64758.0,3643693.0,7710.0,,,,,,North America,,,,,,
2,,South America,57249087,20601.0,1297132.0,135.0,53232463.0,1943.0,2719492.0,10538.0,,,,,,South America,,,,,,
3,,Europe,194930828,162395.0,1834040.0,854.0,182699048.0,273322.0,10397740.0,7366.0,,,,,,Europe,,,,,,
4,,Oceania,8137774,66612.0,11589.0,83.0,7633506.0,65707.0,492679.0,166.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12073126,9079.0,254514.0,60.0,11238956.0,6827.0,579656.0,957.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,524749774,785815.0,6295178.0,1788.0,494505641.0,740361.0,23948955.0,38434.0,67321.0,807.6,,,,All,,,,,,
8,1.0,China,222370,240.0,5217.0,3.0,211948.0,391.0,5205.0,301.0,154.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6473.0,275891.0,9.0,0.2,,4.0
9,2.0,USA,84710891,106741.0,1028136.0,317.0,81447141.0,57231.0,2235614.0,2254.0,253137.0,3072.0,1020316136.0,3048959.0,334644090.0,North America,4.0,325.0,0.0,319.0,0.9,6681.0
10,3.0,India,43129563,2364.0,524303.0,10.0,42589841.0,2582.0,15419.0,698.0,30687.0,373.0,844926602.0,601175.0,1405458235.0,Asia,33.0,2681.0,2.0,2.0,0.01,11.0
11,4.0,Brazil,30741811,13525.0,665376.0,99.0,29746640.0,,329795.0,8318.0,142724.0,3089.0,63776166.0,296091.0,215394113.0,South America,7.0,324.0,3.0,63.0,0.5,1531.0
12,5.0,France,29263304,29995.0,147648.0,80.0,28395316.0,59670.0,720340.0,1173.0,446465.0,2253.0,271490188.0,4142076.0,65544470.0,Europe,2.0,444.0,0.0,458.0,1.0,10990.0
13,6.0,Germany,25956837,64582.0,138349.0,166.0,24299000.0,143100.0,1519488.0,944.0,307959.0,1641.0,122332384.0,1451387.0,84286530.0,Europe,3.0,609.0,1.0,766.0,2.0,18028.0
