,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,147642959,157420.0,1422956.0,553.0,125774192.0,192381.0,20445811.0,12969.0,,,,,,Asia,,,,,,
1,,North America,98217075,86243.0,1459221.0,555.0,94093382.0,36874.0,2664472.0,7139.0,,,,,,North America,,,,,,
2,,South America,56765944,24319.0,1294061.0,182.0,52894191.0,22530.0,2577692.0,10830.0,,,,,,South America,,,,,,
3,,Europe,190646840,363543.0,1816119.0,1596.0,175446801.0,586801.0,13383920.0,9444.0,,,,,,Europe,,,,,,
4,,Oceania,7058578,56181.0,10525.0,62.0,6610962.0,61406.0,437091.0,185.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11889442,4862.0,253785.0,7.0,11094393.0,3034.0,541264.0,971.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,512221559,692568.0,6256682.0,2955.0,465914627.0,903026.0,40050250.0,41538.0,65713.0,802.7,,,,All,,,,,,
8,1.0,China,208584,1503.0,4923.0,47.0,178155.0,2724.0,25506.0,399.0,145.0,3.0,160000000.0,111163.0,1439323776.0,Asia,6900.0,292367.0,9.0,1.0,0.03,18.0
9,2.0,USA,82974066,65444.0,1020397.0,325.0,80623403.0,30150.0,1330266.0,1565.0,248026.0,3050.0,1004448946.0,3002494.0,334538223.0,North America,4.0,328.0,0.0,196.0,1.0,3976.0
10,3.0,India,43072486,3687.0,523753.0,60.0,42530622.0,2496.0,18111.0,698.0,30663.0,373.0,836471748.0,595473.0,1404717429.0,Asia,33.0,2682.0,2.0,3.0,0.04,13.0
11,4.0,Brazil,30418920,19916.0,663289.0,124.0,29499422.0,18424.0,256209.0,8318.0,141279.0,3081.0,63776166.0,296204.0,215311673.0,South America,7.0,325.0,3.0,92.0,0.6,1190.0
12,5.0,France,28542884,59760.0,145711.0,132.0,26552452.0,148616.0,1844721.0,1677.0,435526.0,2223.0,266484045.0,4066187.0,65536600.0,Europe,2.0,450.0,0.0,912.0,2.0,28148.0
13,6.0,Germany,24608074,119832.0,135608.0,239.0,22088300.0,202400.0,2384166.0,1446.0,292008.0,1609.0,122332384.0,1451639.0,84271929.0,Europe,3.0,621.0,1.0,1422.0,3.0,28291.0
14,7.0,UK,22031008,12154.0,174696.0,248.0,21130838.0,48271.0,725474.0,310.0,321454.0,2549.0,516977818.0,7543203.0,68535581.0,Europe,3.0,392.0,0.0,177.0,4.0,10585.0
15,8.0,Russia,18167281,7681.0,375566.0,166.0,17517922.0,11063.0,273793.0,2300.0,124392.0,2572.0,273400000.0,1871982.0,146048440.0,Europe,8.0,389.0,1.0,53.0,1.0,1875.0
16,9.0,S. Korea,17144065,57439.0,22588.0,122.0,,,,552.0,333870.0,440.0,15804065.0,307774.0,51349553.0,Asia,3.0,2273.0,3.0,1119.0,2.0,314549.0
17,10.0,Italy,16350322,69738.0,163244.0,131.0,14937738.0,55773.0,1249340.0,382.0,271150.0,2707.0,213009371.0,3532500.0,60299895.0,Europe,4.0,369.0,0.0,1157.0,2.0,20719.0
18,11.0,Turkey,15028397,2256.0,98751.0,15.0,14927975.0,11193.0,1671.0,975.0,174765.0,1148.0,158778055.0,1846427.0,85992077.0,Asia,6.0,871.0,1.0,26.0,0.2,19.0
19,12.0,Spain,11875253,20898.0,104379.0,76.0,11375613.0,14082.0,395261.0,339.0,253811.0,2231.0,471036328.0,10067511.0,46787764.0,Europe,4.0,448.0,0.0,447.0,2.0,8448.0
20,13.0,Vietnam,10638632,7116.0,43037.0,3.0,9242303.0,79171.0,1353292.0,629.0,107533.0,435.0,85795593.0,867201.0,98933864.0,Asia,9.0,2299.0,1.0,72.0,0.03,13679.0
21,14.0,Argentina,9072230,,128542.0,,8895999.0,,47689.0,372.0,197432.0,2797.0,35716069.0,777261.0,45951194.0,South America,5.0,357.0,1.0,,,1038.0
22,15.0,Netherlands,8045453,1245.0,22239.0,2.0,7783787.0,52136.0,239427.0,75.0,467652.0,1293.0,21107399.0,1226894.0,17203931.0,Europe,2.0,774.0,1.0,72.0,0.1,13917.0
23,16.0,Japan,7771536,45771.0,29467.0,65.0,7319357.0,55998.0,422712.0,174.0,61791.0,234.0,48448864.0,385214.0,125771286.0,Asia,16.0,4268.0,3.0,364.0,0.5,3361.0
