,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,145809281,147568.0,1416371.0,490.0,124203756.0,128362.0,20189154.0,13684.0,,,,,,Asia,,,,,,
1,,North America,97472753,35540.0,1453298.0,143.0,93607699.0,49775.0,2411756.0,6958.0,,,,,,North America,,,,,,
2,,South America,56559628,10586.0,1292153.0,99.0,52573223.0,49331.0,2694252.0,11022.0,,,,,,South America,,,,,,
3,,Europe,187054397,120322.0,1800185.0,693.0,169134385.0,730271.0,16119827.0,9212.0,,,,,,Europe,,,,,,
4,,Oceania,6537166,40610.0,10016.0,19.0,6027101.0,56266.0,500049.0,174.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11829514,1139.0,253519.0,39.0,11059920.0,820.0,516075.0,964.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,505263460,355765.0,6225557.0,1483.0,456606790.0,1014825.0,42431113.0,42014.0,64821.0,798.7,,,,All,,,,,,
8,1.0,China,185035,2742.0,4641.0,3.0,151407.0,1637.0,28987.0,71.0,129.0,3.0,160000000.0,111163.0,1439323776.0,Asia,7779.0,310132.0,9.0,2.0,,20.0
9,2.0,USA,82383494,26881.0,1015821.0,109.0,80244093.0,41383.0,1123580.0,1438.0,246299.0,3037.0,996639125.0,2979620.0,334485290.0,North America,4.0,329.0,0.0,80.0,0.3,3359.0
10,3.0,India,43045527,1247.0,521996.0,31.0,42511701.0,928.0,11830.0,698.0,30652.0,372.0,832104846.0,592521.0,1404347026.0,Asia,33.0,2690.0,2.0,0.9,0.02,8.0
11,4.0,Brazil,30261088,8470.0,662076.0,65.0,29262483.0,35432.0,336529.0,8318.0,140572.0,3076.0,63776166.0,296261.0,215270453.0,South America,7.0,325.0,3.0,39.0,0.3,1563.0
12,5.0,France,27790834,19810.0,144205.0,48.0,25132351.0,217445.0,2514278.0,1541.0,424076.0,2201.0,260504402.0,3975184.0,65532665.0,Europe,2.0,454.0,0.0,302.0,0.7,38367.0
13,6.0,Germany,23457596,19303.0,133437.0,8.0,20085800.0,205500.0,3238359.0,1980.0,278380.0,1584.0,122332384.0,1451764.0,84264628.0,Europe,4.0,631.0,1.0,229.0,0.09,38431.0
