,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,154077419,293321.0,1429892.0,182.0,146582176.0,396937.0,6065351.0,11372.0,,,,,,Asia,,,,,,
1,,North America,100782018,87375.0,1471406.0,247.0,95381259.0,78166.0,3929353.0,7734.0,,,,,,North America,,,,,,
2,,South America,57404770,18914.0,1297665.0,68.0,53361101.0,23686.0,2746004.0,10517.0,,,,,,South America,,,,,,
3,,Europe,195529282,68960.0,1837292.0,680.0,183912634.0,269973.0,9779356.0,7272.0,,,,,,Europe,,,,,,
4,,Oceania,8396890,40193.0,11824.0,23.0,7908962.0,52124.0,476104.0,139.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12105072,2244.0,254620.0,25.0,11292531.0,4832.0,557921.0,960.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,528296172,511007.0,6302714.0,1225.0,498439369.0,825718.0,23554089.0,37994.0,67775.0,808.6,,,,All,,,,,,
8,1.0,China,223332,187.0,5223.0,1.0,213834.0,316.0,4275.0,193.0,155.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6445.0,275574.0,9.0,0.1,,3.0
9,2.0,USA,85242748,79964.0,1029701.0,180.0,81718911.0,70454.0,2494136.0,2278.0,254702.0,3077.0,1022513255.0,3055235.0,334675850.0,North America,4.0,325.0,0.0,239.0,0.5,7452.0
10,3.0,India,43140068,1675.0,524490.0,31.0,42600737.0,1635.0,14841.0,698.0,30690.0,373.0,847092226.0,602621.0,1405680477.0,Asia,33.0,2680.0,2.0,1.0,0.02,11.0
11,4.0,Brazil,30803995,12775.0,665727.0,47.0,29851917.0,19898.0,286351.0,8318.0,142996.0,3090.0,63776166.0,296057.0,215418845.0,South America,7.0,324.0,3.0,59.0,0.2,1329.0
12,5.0,France,29359336,4386.0,147917.0,82.0,28609930.0,66962.0,601489.0,1173.0,447914.0,2257.0,271490188.0,4141927.0,65546831.0,Europe,2.0,443.0,0.0,67.0,1.0,9176.0
13,6.0,Germany,26103628,18011.0,138738.0,26.0,24708600.0,106100.0,1256290.0,944.0,309685.0,1646.0,122332384.0,1451312.0,84290911.0,Europe,3.0,608.0,1.0,214.0,0.3,14904.0
14,7.0,UK,22264680,8655.0,178085.0,36.0,21836316.0,17105.0,250279.0,188.0,324743.0,2597.0,522526476.0,7621352.0,68560862.0,Europe,3.0,385.0,0.0,126.0,0.5,3650.0
15,8.0,Russia,18297608,4158.0,378426.0,76.0,17694020.0,5117.0,225162.0,2300.0,125281.0,2591.0,273400000.0,1871925.0,146052871.0,Europe,8.0,386.0,1.0,28.0,0.5,1542.0
16,9.0,S. Korea,17967672,9975.0,23987.0,22.0,17414103.0,42223.0,529582.0,229.0,349888.0,467.0,15804065.0,307755.0,51352677.0,Asia,3.0,2141.0,3.0,194.0,0.4,10313.0
17,10.0,Italy,17258412,10659.0,166032.0,80.0,16258494.0,27490.0,833886.0,291.0,286240.0,2754.0,219525905.0,3640948.0,60293604.0,Europe,3.0,363.0,0.0,177.0,1.0,13830.0
18,11.0,Turkey,15063203,922.0,98929.0,3.0,14961011.0,1105.0,3263.0,975.0,175039.0,1150.0,161664811.0,1878589.0,86056511.0,Asia,6.0,870.0,1.0,11.0,0.03,38.0
19,12.0,Spain,12269777,10568.0,106067.0,40.0,11663588.0,16341.0,500122.0,339.0,262236.0,2267.0,471036328.0,10067235.0,46789046.0,Europe,4.0,441.0,0.0,226.0,0.9,10689.0
20,13.0,Vietnam,10710066,1179.0,43076.0,1.0,9405908.0,3862.0,1261082.0,216.0,108187.0,435.0,85814565.0,866849.0,98996017.0,Asia,9.0,2298.0,1.0,12.0,0.01,12739.0
21,14.0,Argentina,9178795,,128825.0,,8895999.0,,153971.0,300.0,199623.0,2802.0,35716069.0,776763.0,45980626.0,South America,5.0,357.0,1.0,,,3349.0
22,15.0,Japan,8618683,31262.0,30307.0,15.0,8243263.0,32927.0,345113.0,96.0,68542.0,241.0,51460902.0,409252.0,125743902.0,Asia,15.0,4149.0,2.0,249.0,0.1,2745.0
23,16.0,Netherlands,8077872,736.0,22307.0,,8015332.0,4663.0,40233.0,36.0,469463.0,1296.0,21107399.0,1226703.0,17206616.0,Europe,2.0,771.0,1.0,43.0,,2338.0
24,17.0,Iran,7230321,268.0,141281.0,7.0,7035798.0,1812.0,53242.0,649.0,84047.0,1642.0,52031785.0,604828.0,86027405.0,Asia,12.0,609.0,2.0,3.0,0.08,619.0
25,18.0,Australia,6983004,34036.0,8110.0,13.0,6608390.0,44873.0,366504.0,106.0,267961.0,311.0,71279851.0,2735243.0,26059789.0,Australia/Oceania,4.0,3213.0,0.0,1306.0,0.5,14064.0
26,19.0,Colombia,6099111,,139833.0,,5930545.0,,28733.0,342.0,117496.0,2694.0,34792844.0,670263.0,51909240.0,South America,9.0,371.0,1.0,,,554.0
27,20.0,Indonesia,6052764,174.0,156534.0,12.0,5893340.0,929.0,2890.0,2771.0,21695.0,561.0,98171807.0,351874.0,278997192.0,Asia,46.0,1782.0,3.0,0.6,0.04,10.0
28,21.0,Poland,6005595,64.0,116268.0,,5335252.0,2.0,554075.0,981.0,159012.0,3078.0,36286936.0,960781.0,37768179.0,Europe,6.0,325.0,1.0,2.0,,14670.0
29,22.0,Mexico,5758597,857.0,324765.0,25.0,5053494.0,443.0,380338.0,4798.0,43793.0,2470.0,15897804.0,120899.0,131496294.0,North America,23.0,405.0,8.0,7.0,0.2,2892.0
30,23.0,Ukraine,5011433,129.0,108538.0,5.0,,,,177.0,115907.0,2510.0,19521252.0,451497.0,43236698.0,Europe,9.0,398.0,2.0,3.0,0.1,19541.0
31,24.0,Malaysia,4492864,1544.0,35645.0,2.0,4432071.0,2905.0,25148.0,39.0,135528.0,1075.0,59607632.0,1798078.0,33150747.0,Asia,7.0,930.0,1.0,47.0,0.06,759.0
32,25.0,Thailand,4415593,4099.0,29778.0,29.0,4334812.0,8856.0,51003.0,1496.0,62962.0,425.0,17270775.0,246263.0,70131416.0,Asia,16.0,2355.0,4.0,58.0,0.4,727.0
33,26.0,Austria,4235183,1753.0,18599.0,252.0,4173311.0,3940.0,43273.0,52.0,465218.0,2043.0,186421071.0,20477625.0,9103647.0,Europe,2.0,489.0,0.0,193.0,28.0,4753.0
34,27.0,Belgium,4143408,2316.0,31710.0,8.0,3990880.0,6764.0,120818.0,92.0,354590.0,2714.0,34011375.0,2910668.0,11685074.0,Europe,3.0,368.0,0.0,198.0,0.7,10340.0
35,28.0,Israel,4123806,2480.0,10833.0,6.0,4098862.0,2290.0,14111.0,150.0,442184.0,1162.0,41373364.0,4436346.0,9326000.0,Asia,2.0,861.0,0.0,266.0,0.6,1513.0
36,29.0,Portugal,4066674,,22583.0,,,,,61.0,401035.0,2227.0,42298739.0,4171286.0,10140456.0,Europe,2.0,449.0,0.0,,,115174.0
37,30.0,South Africa,3931534,1662.0,100952.0,19.0,3773111.0,4160.0,57471.0,192.0,64745.0,1662.0,25081137.0,413037.0,60723764.0,Africa,15.0,602.0,2.0,27.0,0.3,946.0
38,31.0,Czechia,3918132,63.0,40271.0,,3876213.0,501.0,1648.0,6.0,364594.0,3747.0,55366573.0,5152020.0,10746576.0,Europe,3.0,267.0,0.0,6.0,,153.0
39,32.0,Canada,3847863,865.0,40695.0,16.0,3516903.0,,290265.0,370.0,100287.0,1061.0,61679093.0,1607549.0,38368399.0,North America,10.0,943.0,1.0,23.0,0.4,7565.0
40,33.0,Philippines,3689132,191.0,60455.0,,3626406.0,172.0,2271.0,480.0,32839.0,538.0,30029881.0,267310.0,112341108.0,Asia,30.0,1858.0,4.0,2.0,,20.0
41,34.0,Switzerland,3649737,561.0,13948.0,,3579618.0,3619.0,56171.0,71.0,415953.0,1590.0,20991820.0,2392394.0,8774399.0,Europe,2.0,629.0,0.0,64.0,,6402.0
42,35.0,Chile,3647361,4225.0,57810.0,8.0,3486661.0,2663.0,102890.0,136.0,187750.0,2976.0,38123516.0,1962425.0,19426738.0,South America,5.0,336.0,1.0,217.0,0.4,5296.0
43,36.0,Peru,3576309,267.0,213116.0,10.0,,,,189.0,105680.0,6298.0,30448621.0,899755.0,33841018.0,South America,9.0,159.0,1.0,8.0,0.3,48537.0
44,37.0,Greece,3422233,2235.0,29711.0,21.0,3346122.0,4750.0,46400.0,151.0,331396.0,2877.0,81883919.0,7929315.0,10326733.0,Europe,3.0,348.0,0.0,216.0,2.0,4493.0
45,38.0,Denmark,2980843,1605.0,6330.0,18.0,2965874.0,531.0,8639.0,11.0,511223.0,1086.0,127377418.0,21845609.0,5830802.0,Europe,2.0,921.0,0.0,275.0,3.0,1482.0
46,39.0,Romania,2906285,234.0,65654.0,2.0,,,,101.0,153003.0,3456.0,23065296.0,1214288.0,18994915.0,Europe,7.0,289.0,1.0,12.0,0.1,12318.0
47,40.0,DPRK,2814380,167650.0,68.0,1.0,2334910.0,267640.0,479402.0,,108276.0,3.0,,,25992610.0,Asia,9.0,382244.0,,6450.0,0.04,18444.0
48,41.0,Sweden,2507638,234.0,18944.0,,2480483.0,413.0,8211.0,7.0,245403.0,1854.0,18573144.0,1817611.0,10218439.0,Europe,4.0,539.0,1.0,23.0,,804.0
49,42.0,Iraq,2327387,118.0,25218.0,2.0,2301061.0,142.0,1108.0,10.0,55506.0,601.0,18561155.0,442668.0,41930172.0,Asia,18.0,1663.0,2.0,3.0,0.05,26.0
50,43.0,Serbia,2015382,296.0,16068.0,3.0,1992675.0,595.0,6639.0,8.0,232434.0,1853.0,9656839.0,1113721.0,8670785.0,Europe,4.0,540.0,1.0,34.0,0.3,766.0
51,44.0,Bangladesh,1953264,31.0,29130.0,2.0,1901157.0,193.0,22977.0,1259.0,11641.0,174.0,14090035.0,83972.0,167794436.0,Asia,86.0,5760.0,12.0,0.2,0.01,137.0
52,45.0,Hungary,1914697,,46446.0,,1830803.0,,37448.0,21.0,199158.0,4831.0,11394556.0,1185212.0,9613939.0,Europe,5.0,207.0,1.0,,,3895.0
53,46.0,Slovakia,1788490,38.0,20081.0,1.0,1765106.0,50.0,3303.0,30.0,327284.0,3675.0,7138024.0,1306219.0,5464646.0,Europe,3.0,272.0,1.0,7.0,0.2,604.0
54,47.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,162987.0,1351.0,16670254.0,1603707.0,10394822.0,Asia,6.0,740.0,1.0,,,118.0
55,48.0,Georgia,1655221,,16811.0,,1637293.0,,1117.0,,416441.0,4230.0,16920079.0,4256967.0,3974679.0,Asia,2.0,236.0,0.0,,,281.0
56,49.0,Ireland,1560457,622.0,7271.0,1.0,1525470.0,1546.0,27716.0,28.0,309481.0,1442.0,12193391.0,2418284.0,5042166.0,Europe,3.0,693.0,0.0,123.0,0.2,5497.0
57,50.0,Pakistan,1529834,49.0,30379.0,,1496123.0,69.0,3332.0,87.0,6680.0,133.0,28473285.0,124333.0,229007912.0,Asia,150.0,7538.0,8.0,0.2,,15.0
58,51.0,Norway,1431697,406.0,3134.0,7.0,,,,20.0,260239.0,570.0,11002430.0,1999909.0,5501464.0,Europe,4.0,1755.0,1.0,74.0,1.0,243501.0
59,52.0,Taiwan,1386584,66227.0,1436.0,40.0,172535.0,23075.0,1212613.0,,58020.0,60.0,17249430.0,721783.0,23898347.0,Asia,17.0,16642.0,1.0,2771.0,2.0,50740.0
60,53.0,Kazakhstan,1305697,6.0,13661.0,,1291885.0,5.0,151.0,24.0,67999.0,711.0,11575012.0,602811.0,19201735.0,Asia,15.0,1406.0,2.0,0.3,,8.0
61,54.0,Singapore,1272386,2751.0,1377.0,2.0,1193116.0,4285.0,77893.0,6.0,214300.0,232.0,23877882.0,4021596.0,5937415.0,Asia,5.0,4312.0,0.0,463.0,0.3,13119.0
62,55.0,Hong Kong,1210586,190.0,9370.0,,,,,5.0,159035.0,1231.0,44972952.0,5908098.0,7612086.0,Asia,6.0,812.0,0.0,25.0,,156065.0
