,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,147319632,161272.0,1421872.0,574.0,125433569.0,136691.0,20464191.0,12897.0,,,,,,Asia,,,,,,
1,,North America,98035076,64896.0,1457899.0,432.0,94004504.0,52612.0,2572673.0,7039.0,,,,,,North America,,,,,,
2,,South America,56716890,24457.0,1293559.0,187.0,52797138.0,8544.0,2626193.0,10882.0,,,,,,South America,,,,,,
3,,Europe,189860703,331914.0,1812913.0,1599.0,174264467.0,669615.0,13783323.0,10348.0,,,,,,Europe,,,,,,
4,,Oceania,6947347,45097.0,10397.0,76.0,6482673.0,59680.0,454277.0,179.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11877820,7095.0,253774.0,35.0,11088380.0,3993.0,535666.0,956.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,510758189,634731.0,6250429.0,2903.0,464071437.0,931135.0,40436323.0,42301.0,65526.0,801.9,,,,All,,,,,,
8,1.0,China,205257,1923.0,4828.0,52.0,171703.0,2323.0,28726.0,341.0,143.0,3.0,160000000.0,111163.0,1439323776.0,Asia,7012.0,298120.0,9.0,1.0,0.04,20.0
9,2.0,USA,82830509,52013.0,1019463.0,356.0,80549868.0,41054.0,1261178.0,1457.0,247604.0,3047.0,1002337197.0,2996276.0,334527637.0,North America,4.0,328.0,0.0,155.0,1.0,3770.0
10,3.0,India,43065666,3569.0,523654.0,151.0,42525563.0,2252.0,16449.0,698.0,30660.0,373.0,835974079.0,595150.0,1404643348.0,Asia,33.0,2682.0,2.0,3.0,0.1,12.0
11,4.0,Brazil,30378061,22142.0,662941.0,164.0,29411813.0,,303307.0,8318.0,141094.0,3079.0,63776166.0,296215.0,215303429.0,South America,7.0,325.0,3.0,103.0,0.8,1409.0
12,5.0,France,28415413,97498.0,145427.0,170.0,26245214.0,161753.0,2024772.0,1677.0,433586.0,2219.0,266484045.0,4066235.0,65535813.0,Europe,2.0,451.0,0.0,1488.0,3.0,30896.0
13,6.0,Germany,24363379,135699.0,135124.0,307.0,21665200.0,240000.0,2563055.0,1980.0,289109.0,1603.0,122332384.0,1451664.0,84270469.0,Europe,3.0,624.0,1.0,1610.0,4.0,30415.0
14,7.0,UK,22002866,15985.0,174144.0,451.0,21028336.0,73261.0,800386.0,321.0,321052.0,2541.0,516236032.0,7532594.0,68533636.0,Europe,3.0,394.0,0.0,233.0,7.0,11679.0
15,8.0,Russia,18151895,7107.0,375237.0,176.0,17495382.0,11899.0,281276.0,2300.0,124287.0,2569.0,273400000.0,1871986.0,146048100.0,Europe,8.0,389.0,1.0,49.0,1.0,1926.0
16,9.0,S. Korea,17009865,80301.0,22325.0,82.0,,,,613.0,331258.0,435.0,15804065.0,307776.0,51349313.0,Asia,3.0,2300.0,3.0,1564.0,2.0,311942.0
17,10.0,Italy,16191814,30066.0,162927.0,146.0,14793420.0,37462.0,1235467.0,409.0,268519.0,2702.0,212013319.0,3515953.0,60300379.0,Europe,4.0,370.0,0.0,499.0,2.0,20489.0
18,11.0,Turkey,15023662,2511.0,98720.0,14.0,14903420.0,14425.0,21522.0,975.0,174720.0,1148.0,158505155.0,1843359.0,85987121.0,Asia,6.0,871.0,1.0,29.0,0.2,250.0
19,12.0,Spain,11833457,11856.0,104227.0,79.0,11347449.0,24219.0,381781.0,339.0,252918.0,2228.0,471036328.0,10067532.0,46787665.0,Europe,4.0,449.0,0.0,253.0,2.0,8160.0
20,13.0,Vietnam,10623512,8434.0,43029.0,8.0,9116225.0,23465.0,1464258.0,620.0,107385.0,435.0,85792898.0,867216.0,98929083.0,Asia,9.0,2299.0,1.0,85.0,0.08,14801.0
21,14.0,Argentina,9072230,,128542.0,,8895999.0,,47689.0,372.0,197442.0,2797.0,35716069.0,777299.0,45948930.0,South America,5.0,357.0,1.0,,,1038.0
22,15.0,Netherlands,8042469,1896.0,22234.0,6.0,7731657.0,25013.0,288578.0,77.0,467484.0,1292.0,21107399.0,1226909.0,17203724.0,Europe,2.0,774.0,1.0,110.0,0.3,16774.0
23,16.0,Japan,7688507,28495.0,29344.0,36.0,7223164.0,44416.0,435999.0,200.0,61130.0,233.0,46888808.0,372804.0,125773392.0,Asia,16.0,4286.0,3.0,227.0,0.3,3467.0
24,17.0,Iran,7218424,1307.0,141024.0,28.0,6972286.0,2816.0,105114.0,997.0,83989.0,1641.0,50914586.0,592408.0,85945161.0,Asia,12.0,609.0,2.0,15.0,0.3,1223.0
25,18.0,Colombia,6091753,202.0,139783.0,3.0,5925390.0,350.0,26580.0,342.0,117448.0,2695.0,34407374.0,663367.0,51867774.0,South America,9.0,371.0,2.0,4.0,0.06,512.0
26,19.0,Indonesia,6045043,576.0,156163.0,30.0,5879141.0,4058.0,9739.0,2771.0,21684.0,560.0,95155820.0,341334.0,278776055.0,Asia,46.0,1785.0,3.0,2.0,0.1,35.0
27,20.0,Poland,5992820,1356.0,115977.0,29.0,5334439.0,59.0,542404.0,1588.0,158661.0,3071.0,36049225.0,954407.0,37771338.0,Europe,6.0,326.0,1.0,36.0,0.8,14360.0
28,21.0,Australia,5756477,36350.0,7069.0,67.0,5402976.0,49943.0,346432.0,141.0,221087.0,271.0,68924815.0,2647171.0,26037162.0,Australia/Oceania,5.0,3683.0,0.0,1396.0,3.0,13305.0
29,22.0,Mexico,5733925,140.0,324134.0,5.0,5034909.0,482.0,374882.0,4798.0,43640.0,2467.0,15767876.0,120006.0,131392727.0,North America,23.0,405.0,8.0,1.0,0.04,2853.0
30,23.0,Ukraine,4999172,655.0,108343.0,14.0,,,,177.0,115570.0,2505.0,19521252.0,451289.0,43256693.0,Europe,9.0,399.0,2.0,15.0,0.3,19253.0
31,24.0,Malaysia,4436912,3361.0,35520.0,13.0,4339521.0,9484.0,61871.0,101.0,133969.0,1072.0,58469707.0,1765442.0,33119023.0,Asia,7.0,932.0,1.0,101.0,0.4,1868.0
32,25.0,Thailand,4194684,13816.0,28022.0,120.0,3999541.0,21072.0,167121.0,1496.0,59823.0,400.0,17270775.0,246310.0,70118054.0,Asia,17.0,2502.0,4.0,197.0,2.0,2383.0
33,26.0,Austria,4114558,5588.0,18076.0,22.0,4008005.0,9227.0,88477.0,111.0,452163.0,1986.0,182179543.0,20020339.0,9099723.0,Europe,2.0,503.0,0.0,614.0,2.0,9723.0
34,27.0,Israel,4066021,3743.0,10694.0,21.0,4026872.0,4259.0,28455.0,220.0,435988.0,1147.0,41373364.0,4436346.0,9326000.0,Asia,2.0,872.0,0.0,401.0,2.0,3051.0
35,28.0,Belgium,4036113,,31382.0,,3759930.0,20016.0,244801.0,156.0,345521.0,2687.0,33531891.0,2870580.0,11681224.0,Europe,3.0,372.0,0.0,,,20957.0
36,29.0,Czechia,3898416,2255.0,40112.0,10.0,3841800.0,1095.0,16504.0,39.0,362810.0,3733.0,55140253.0,5131684.0,10745061.0,Europe,3.0,268.0,0.0,210.0,0.9,1536.0
37,30.0,Portugal,3791744,,22162.0,,,,,61.0,373839.0,2185.0,41060137.0,4048237.0,10142721.0,Europe,3.0,458.0,0.0,,,88083.0
38,31.0,South Africa,3769927,5062.0,100348.0,15.0,3635429.0,983.0,34150.0,175.0,62142.0,1654.0,24370285.0,401709.0,60666562.0,Africa,16.0,605.0,2.0,83.0,0.2,563.0
39,32.0,Canada,3714127,7240.0,38901.0,54.0,3440493.0,8549.0,234733.0,471.0,96866.0,1015.0,60712755.0,1583407.0,38343111.0,North America,10.0,986.0,1.0,189.0,1.0,6122.0
40,33.0,Philippines,3684834,122.0,60195.0,1.0,3613060.0,1181.0,11579.0,289.0,32833.0,536.0,29468174.0,262571.0,112229517.0,Asia,30.0,1864.0,4.0,1.0,0.01,103.0
41,34.0,Switzerland,3602489,2308.0,13836.0,1.0,3419641.0,24263.0,169012.0,87.0,410795.0,1578.0,20767523.0,2368136.0,8769564.0,Europe,2.0,634.0,0.0,263.0,0.1,19273.0
42,35.0,Peru,3562300,623.0,212769.0,8.0,,,,350.0,105375.0,6294.0,29702409.0,878617.0,33805871.0,South America,9.0,159.0,1.0,18.0,0.2,48183.0
43,36.0,Chile,3549327,1350.0,57387.0,11.0,3393221.0,7578.0,98719.0,266.0,182821.0,2956.0,36810584.0,1896065.0,19414199.0,South America,5.0,338.0,1.0,70.0,0.6,5085.0
44,37.0,Greece,3290895,4925.0,28976.0,43.0,3187323.0,9242.0,74596.0,267.0,318558.0,2805.0,79073823.0,7654324.0,10330608.0,Europe,3.0,357.0,0.0,477.0,4.0,7221.0
45,38.0,Denmark,2962238,1356.0,6116.0,11.0,2934893.0,2490.0,21229.0,13.0,508168.0,1049.0,127172757.0,21816334.0,5829245.0,Europe,2.0,953.0,0.0,233.0,2.0,3642.0
46,39.0,Romania,2889363,724.0,65430.0,2.0,2606660.0,,217273.0,224.0,152034.0,3443.0,22615426.0,1189993.0,19004679.0,Europe,7.0,290.0,1.0,38.0,0.1,11433.0
47,40.0,Sweden,2498388,,18656.0,,2465572.0,,14160.0,19.0,244613.0,1827.0,18493218.0,1810641.0,10213629.0,Europe,4.0,547.0,1.0,,,1386.0
48,41.0,Iraq,2324531,147.0,25208.0,1.0,2296824.0,276.0,2499.0,20.0,55530.0,602.0,18462168.0,441036.0,41860954.0,Asia,18.0,1661.0,2.0,4.0,0.02,60.0
49,42.0,Serbia,2003334,981.0,15969.0,9.0,1971796.0,2664.0,15569.0,27.0,230973.0,1841.0,9450942.0,1089639.0,8673465.0,Europe,4.0,543.0,1.0,113.0,1.0,1795.0
50,43.0,Bangladesh,1952602,19.0,29127.0,,1894123.0,364.0,29352.0,1297.0,11646.0,174.0,13973221.0,83338.0,167669010.0,Asia,86.0,5756.0,12.0,0.1,,175.0
51,44.0,Hungary,1895677,1399.0,46133.0,32.0,1792616.0,4425.0,56928.0,37.0,197142.0,4798.0,11317807.0,1177000.0,9615808.0,Europe,5.0,208.0,1.0,145.0,3.0,5920.0
52,45.0,Slovakia,1776576,1398.0,19862.0,10.0,1734727.0,3001.0,21987.0,76.0,325116.0,3635.0,7067460.0,1293354.0,5464444.0,Europe,3.0,275.0,1.0,256.0,2.0,4024.0
53,46.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163108.0,1352.0,16670254.0,1604903.0,10387079.0,Asia,6.0,739.0,1.0,,,118.0
54,47.0,Georgia,1654375,62.0,16800.0,,1636108.0,104.0,1467.0,,416168.0,4226.0,16816024.0,4230167.0,3975262.0,Asia,2.0,237.0,0.0,16.0,,369.0
55,48.0,Pakistan,1528061,105.0,30369.0,,1494141.0,,3551.0,142.0,6682.0,133.0,28083290.0,122806.0,228679239.0,Asia,150.0,7530.0,8.0,0.5,,16.0
56,49.0,Ireland,1514035,1223.0,7028.0,12.0,1430598.0,6920.0,76409.0,33.0,300526.0,1395.0,12041339.0,2390128.0,5037948.0,Europe,3.0,717.0,0.0,243.0,2.0,15167.0
57,50.0,Norway,1424672,492.0,2932.0,7.0,,,,20.0,259115.0,533.0,11002430.0,2001088.0,5498225.0,Europe,4.0,1875.0,0.0,89.0,1.0,242403.0
58,51.0,Kazakhstan,1305473,8.0,13660.0,,1291009.0,12.0,804.0,24.0,68048.0,712.0,11575012.0,603350.0,19184557.0,Asia,15.0,1404.0,2.0,0.4,,42.0
59,52.0,Hong Kong,1202638,347.0,9274.0,7.0,,,,115.0,158087.0,1219.0,44972952.0,5911708.0,7607438.0,Asia,6.0,820.0,0.0,46.0,0.9,155129.0
60,53.0,Singapore,1187914,3688.0,1333.0,2.0,1117944.0,2115.0,68637.0,7.0,200191.0,225.0,23712995.0,3996191.0,5933900.0,Asia,5.0,4452.0,0.0,622.0,0.3,11567.0
61,54.0,Morocco,1164774,57.0,16066.0,,1148310.0,38.0,398.0,293.0,30892.0,426.0,11237010.0,298024.0,37705022.0,Africa,32.0,2347.0,3.0,2.0,,11.0
62,55.0,Bulgaria,1154646,1140.0,36879.0,23.0,965243.0,4957.0,152524.0,102.0,168476.0,5381.0,9815490.0,1432191.0,6853476.0,Europe,6.0,186.0,1.0,166.0,3.0,22255.0
63,56.0,Croatia,1118526,704.0,15801.0,11.0,1098596.0,484.0,4129.0,24.0,275547.0,3893.0,4770929.0,1175308.0,4059300.0,Europe,4.0,257.0,1.0,173.0,3.0,1017.0
64,57.0,Cuba,1102164,196.0,8525.0,,1092521.0,322.0,1118.0,23.0,97415.0,753.0,12920253.0,1141964.0,11314061.0,North America,10.0,1327.0,1.0,17.0,,99.0
65,58.0,Lebanon,1096530,68.0,10380.0,2.0,1080401.0,946.0,5749.0,186.0,161970.0,1533.0,4795578.0,708363.0,6769944.0,Asia,6.0,652.0,1.0,10.0,0.3,849.0
66,59.0,Lithuania,1055657,776.0,9078.0,1.0,1019176.0,1804.0,27403.0,21.0,397860.0,3421.0,8226057.0,3100266.0,2653339.0,Europe,3.0,292.0,0.0,292.0,0.4,10328.0
67,60.0,Tunisia,1040193,661.0,28550.0,17.0,,,,29.0,86372.0,2371.0,4572976.0,379714.0,12043196.0,Africa,12.0,422.0,3.0,55.0,1.0,-1198.35
68,61.0,Slovenia,1006403,1567.0,6585.0,3.0,984509.0,2669.0,15309.0,29.0,483974.0,3167.0,2642607.0,1270816.0,2079457.0,Europe,2.0,316.0,1.0,754.0,1.0,7362.0
69,62.0,Finland,1000472,,3638.0,,46000.0,,950834.0,31.0,180059.0,655.0,10644579.0,1915750.0,5556351.0,Europe,6.0,1527.0,1.0,,,171126.0
70,63.0,Nepal,978770,8.0,11951.0,,966558.0,18.0,261.0,,32530.0,397.0,5624458.0,186932.0,30088276.0,Asia,31.0,2518.0,5.0,0.3,,9.0
71,64.0,Belarus,978117,155.0,6931.0,3.0,928536.0,,42650.0,,103574.0,734.0,13110627.0,1388297.0,9443679.0,Europe,10.0,1363.0,1.0,16.0,0.3,4516.0
72,65.0,Bolivia,904576,97.0,21908.0,,856331.0,527.0,26337.0,220.0,75620.0,1831.0,2699040.0,225632.0,11962157.0,South America,13.0,546.0,4.0,8.0,,2202.0
73,66.0,UAE,897558,207.0,2302.0,,880481.0,336.0,14775.0,,88802.0,228.0,154911027.0,15326495.0,10107401.0,Asia,11.0,4391.0,0.0,20.0,,1462.0
74,67.0,New Zealand,896495,6456.0,649.0,5.0,838863.0,8306.0,56983.0,,179224.0,130.0,6987514.0,1396916.0,5002100.0,Australia/Oceania,6.0,7707.0,1.0,1291.0,1.0,11392.0
75,68.0,Uruguay,895775,,7197.0,,886654.0,,1924.0,18.0,256258.0,2059.0,6091188.0,1742534.0,3495593.0,South America,4.0,486.0,1.0,,,550.0
76,69.0,Ecuador,868285,,35581.0,,,,,759.0,47893.0,1963.0,2470170.0,136251.0,18129511.0,South America,21.0,510.0,7.0,,,21447.0
77,70.0,Costa Rica,852074,711.0,8405.0,1.0,832853.0,444.0,10816.0,45.0,164538.0,1623.0,4291131.0,828629.0,5178594.0,North America,6.0,616.0,1.0,137.0,0.2,2089.0
78,71.0,Guatemala,843269,616.0,17534.0,9.0,823403.0,659.0,2332.0,5.0,45540.0,947.0,4426414.0,239043.0,18517255.0,North America,22.0,1056.0,4.0,33.0,0.5,126.0
79,72.0,Latvia,818030,591.0,5755.0,11.0,804245.0,935.0,8030.0,9.0,442576.0,3114.0,7160744.0,3874149.0,1848340.0,Europe,2.0,321.0,0.0,320.0,6.0,4344.0
80,73.0,Azerbaijan,792502,6.0,9707.0,,782650.0,4.0,145.0,,76904.0,942.0,6797352.0,659608.0,10305142.0,Asia,13.0,1062.0,2.0,0.6,,14.0
81,74.0,Panama,772830,744.0,8183.0,1.0,760639.0,173.0,4008.0,8.0,174135.0,1844.0,5843308.0,1316625.0,4438096.0,North America,6.0,542.0,1.0,168.0,0.2,903.0
82,75.0,Saudi Arabia,753632,106.0,9082.0,3.0,741058.0,187.0,3492.0,45.0,21052.0,254.0,41849069.0,1169023.0,35798322.0,Asia,48.0,3942.0,1.0,3.0,0.08,98.0
83,76.0,Sri Lanka,663239,44.0,16503.0,1.0,646110.0,1.0,626.0,,30739.0,765.0,6486117.0,300613.0,21576302.0,Asia,33.0,1307.0,3.0,2.0,0.05,29.0
84,77.0,Paraguay,649034,,18795.0,,624673.0,,5566.0,5.0,89011.0,2578.0,2623300.0,359768.0,7291636.0,South America,11.0,388.0,3.0,,,763.0
