,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
137,130.0,Senegal,86005,4.0,1966.0,,84019.0,2.0,20.0,,4900.0,112.0,1070306.0,60983.0,17550832.0,Africa,204.0,8927.0,16.0,0.2,,1.0
138,131.0,Malawi,85790,9.0,2634.0,,82066.0,,1090.0,67.0,4282.0,131.0,574794.0,28691.0,20033950.0,Africa,234.0,7606.0,35.0,0.4,,54.0
139,132.0,Ivory Coast,81957,,799.0,,81112.0,,46.0,,2972.0,29.0,1501863.0,54469.0,27572866.0,Africa,336.0,34509.0,18.0,,,2.0
140,133.0,French Guiana,80859,,395.0,,11254.0,,69210.0,2.0,258468.0,1263.0,627211.0,2004894.0,312840.0,South America,4.0,792.0,0.0,,,221231.0
141,134.0,Suriname,79336,,1328.0,,49401.0,,28607.0,,133059.0,2227.0,235950.0,395724.0,596249.0,South America,8.0,449.0,3.0,,,47978.0
142,135.0,Channel Islands,74383,,169.0,,73224.0,,990.0,,420730.0,956.0,1252808.0,7086219.0,176795.0,Europe,2.0,1046.0,0.0,,,5600.0
143,136.0,French Polynesia,72746,26.0,648.0,,,,,7.0,256257.0,2283.0,,,283879.0,Australia/Oceania,4.0,438.0,,92.0,,135966.0
144,137.0,Barbados,70793,344.0,398.0,3.0,66662.0,,3733.0,,245793.0,1382.0,651301.0,2261313.0,288019.0,North America,4.0,724.0,0.0,1194.0,10.0,12961.0
145,138.0,Eswatini,70678,21.0,1397.0,,68969.0,63.0,312.0,11.0,59788.0,1182.0,1015834.0,859316.0,1182142.0,Africa,17.0,846.0,1.0,18.0,,264.0
146,139.0,Fiji,64646,2.0,862.0,,62791.0,28.0,993.0,,71170.0,949.0,508091.0,559368.0,908331.0,Australia/Oceania,14.0,1054.0,2.0,2.0,,1093.0
147,140.0,Madagascar,64181,,1391.0,,59370.0,,3420.0,14.0,2214.0,48.0,426220.0,14701.0,28992875.0,Africa,452.0,20843.0,68.0,,,118.0
148,141.0,Guyana,63484,2.0,1228.0,,62143.0,,113.0,1.0,80005.0,1548.0,598281.0,753980.0,793497.0,South America,12.0,646.0,1.0,3.0,,142.0
149,142.0,Sudan,62117,,4931.0,,,,,,1359.0,108.0,562941.0,12312.0,45721722.0,Africa,736.0,9272.0,81.0,,,369.0
150,143.0,New Caledonia,60517,,312.0,,60102.0,,103.0,9.0,208306.0,1074.0,98964.0,340644.0,290520.0,Australia/Oceania,5.0,931.0,3.0,,,355.0
151,144.0,Bhutan,59247,28.0,21.0,,58353.0,464.0,873.0,1.0,75267.0,27.0,2300288.0,2922288.0,787153.0,Asia,13.0,37483.0,0.0,36.0,,1109.0
152,145.0,Mauritania,58694,6.0,982.0,,57695.0,,17.0,,12044.0,202.0,804490.0,165086.0,4873160.0,Africa,83.0,4962.0,6.0,1.0,,3.0
153,146.0,Belize,57497,,676.0,,56604.0,,217.0,6.0,139953.0,1645.0,539513.0,1313220.0,410832.0,North America,7.0,608.0,1.0,,,528.0
154,147.0,Cabo Verde,56028,3.0,401.0,,55556.0,1.0,71.0,23.0,98809.0,707.0,400982.0,707154.0,567036.0,Africa,10.0,1414.0,1.0,5.0,,125.0
155,148.0,Syria,55825,5.0,3150.0,,52201.0,12.0,474.0,,3054.0,172.0,146269.0,8002.0,18278163.0,Asia,327.0,5803.0,125.0,0.3,,26.0
156,149.0,Gabon,47602,,304.0,,47285.0,,13.0,,20502.0,131.0,1593622.0,686378.0,2321785.0,Africa,49.0,7637.0,1.0,,,6.0
157,150.0,Papua New Guinea,43821,4.0,650.0,,43133.0,1.0,38.0,7.0,4734.0,70.0,249149.0,26915.0,9257040.0,Australia/Oceania,211.0,14242.0,37.0,0.4,,4.0
158,151.0,Seychelles,42474,,166.0,,41727.0,,581.0,,427042.0,1669.0,,,99461.0,Africa,2.0,599.0,,,,5841.0
159,152.0,Curaçao,42241,,274.0,,41612.0,,355.0,3.0,255509.0,1657.0,496693.0,3004416.0,165321.0,North America,4.0,603.0,0.0,,,2147.0
160,153.0,Andorra,41349,,153.0,,40689.0,,507.0,14.0,533597.0,1974.0,249838.0,3224091.0,77491.0,Europe,2.0,506.0,0.0,,,6543.0
161,154.0,Burundi,39998,,38.0,,773.0,,39187.0,,3190.0,3.0,345742.0,27575.0,12538337.0,Africa,313.0,329956.0,36.0,,,3125.0
162,155.0,Mauritius,37691,24.0,990.0,,35962.0,67.0,739.0,,29547.0,776.0,358675.0,281175.0,1275629.0,Africa,34.0,1289.0,4.0,19.0,,579.0
163,156.0,Mayotte,37363,,187.0,,2964.0,,34212.0,,131166.0,656.0,176919.0,621089.0,284853.0,Africa,8.0,1523.0,2.0,,,120104.0
164,157.0,Togo,36991,2.0,273.0,,36693.0,5.0,25.0,,4285.0,32.0,731018.0,84671.0,8633587.0,Africa,233.0,31625.0,12.0,0.2,,3.0
165,158.0,Guinea,36459,,440.0,,35976.0,,43.0,8.0,2645.0,32.0,660107.0,47889.0,13784209.0,Africa,378.0,31328.0,21.0,,,3.0
166,159.0,Aruba,34846,,212.0,,34516.0,,118.0,3.0,323863.0,1970.0,177885.0,1653283.0,107595.0,North America,3.0,508.0,1.0,,,1097.0
167,160.0,Faeroe Islands,34658,,28.0,,7693.0,,26937.0,5.0,704388.0,569.0,778000.0,15812044.0,49203.0,Europe,1.0,1757.0,0.0,,,547467.0
168,161.0,Tanzania,33872,,803.0,,,,,7.0,539.0,13.0,,,62845449.0,Africa,1855.0,78263.0,,,,523.0
169,162.0,Bahamas,33582,4.0,798.0,,32368.0,5.0,416.0,,83930.0,1994.0,229817.0,574372.0,400119.0,North America,12.0,501.0,2.0,10.0,,1040.0
170,163.0,Lesotho,32910,,697.0,,24155.0,,8058.0,,15143.0,321.0,431221.0,198416.0,2173321.0,Africa,66.0,3118.0,5.0,,,3708.0
171,164.0,Mali,30850,7.0,732.0,,29942.0,46.0,176.0,,1447.0,34.0,667082.0,31293.0,21317411.0,Africa,691.0,29122.0,32.0,0.3,,8.0
