,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,Asia,147923367,132632.0,1423917.0,436.0,125969480.0,107215.0,20529970.0,12670.0,,,,,,Asia,,,,,,
1,,North America,98326416,31286.0,1459865.0,202.0,94167516.0,35075.0,2699035.0,7136.0,,,,,,North America,,,,,,
2,,South America,56802343,18130.0,1294462.0,94.0,52928009.0,19007.0,2579872.0,10809.0,,,,,,South America,,,,,,
3,,Europe,191123143,188351.0,1817853.0,590.0,176278388.0,302597.0,13026902.0,9364.0,,,,,,Europe,,,,,,
4,,Oceania,7156211,46532.0,10607.0,40.0,6710942.0,45468.0,434662.0,175.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,11902198,6807.0,253795.0,4.0,11103405.0,3110.0,544998.0,969.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,513234399,423738.0,6260514.0,1366.0,467158446.0,512472.0,39815439.0,41123.0,65843.0,803.2,,,,All,,,,,,
8,1.0,China,215667,1424.0,5022.0,47.0,184078.0,3127.0,26567.0,458.0,150.0,3.0,160000000.0,111163.0,1439323776.0,Asia,6674.0,286604.0,9.0,1.0,0.03,18.0
9,2.0,USA,83066907,24751.0,1020833.0,115.0,80684899.0,29374.0,1361175.0,1576.0,248299.0,3051.0,1005438148.0,3005403.0,334543517.0,North America,4.0,328.0,0.0,74.0,0.3,4069.0
10,3.0,India,43079188,3324.0,523843.0,40.0,42536253.0,2876.0,19092.0,698.0,30667.0,373.0,837442023.0,596148.0,1404754469.0,Asia,33.0,2682.0,2.0,2.0,0.03,14.0
11,4.0,Brazil,30448236,15194.0,663551.0,67.0,29519204.0,11647.0,265481.0,8318.0,141412.0,3082.0,63776166.0,296198.0,215315795.0,South America,7.0,324.0,3.0,71.0,0.3,1233.0
12,5.0,France,28645285,49482.0,145930.0,61.0,26801506.0,107496.0,1697849.0,1677.0,437086.0,2227.0,266484045.0,4066162.0,65536993.0,Europe,2.0,449.0,0.0,755.0,0.9,25907.0
13,6.0,Germany,24761600,57003.0,135900.0,106.0,22307900.0,80300.0,2317800.0,1446.0,293827.0,1613.0,122332384.0,1451626.0,84272659.0,Europe,3.0,620.0,1.0,676.0,1.0,27504.0
